strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.02433216253120918,0.03666413005557842,0.040026875052717514,0.0561522600473836,0.022702486958980573,0.19465730024967343,0.3202150004217401,1.0,0.0002082624996546656,0.0007505375106120482,0.004872150020673871,2.4424525669642856,8.125,10.25,5.75,1.0,0.0,0.0,0.0,0.0005449749733088538,0.014313974999822676,0.025584,0.0,0.0,0.0,0.0
rltune_style_selector,0.03625373750401195,0.05583514498430304,0.0493453000090085,0.07565732999937609,0.022702486958980573,0.2900299000320956,0.394762400072068,1.0,0.0029753750131931156,0.0007645874575246125,0.002525900024920702,1.190824962797619,8.0,8.0,1.0,0.125,-0.4899513126920715,-0.5228820348297821,-0.23280420827301965,0.00048359998618252575,0.012944512505782768,0.019968,0.0,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.03213960003631655,0.05542271505692042,0.04825040001014713,0.07158798502059653,0.022702486958980573,0.2571168002905324,0.38600320008117706,1.0,0.0007097875350154936,0.0007020374468993396,0.001964962502825074,1.0,8.0,8.0,0.0,0.0,-0.32086903476389794,-0.5116331677011355,-0.20545008688784222,0.0004710125067504123,0.016001787487766705,0.019968,0.0,0.0,0.0,0.0
guarded_system_portfolio,0.01792729998123832,0.025893924979027358,0.02961986248556059,0.041050804994301866,0.022702486958980573,0.14341839984990656,0.2369588998844847,1.0,0.0010210250038653612,0.0005508499598363414,0.00443363752856385,2.262462797619048,7.625,10.125,5.875,1.0,0.26322619462021857,0.293753187658475,0.2600006259157214,0.0006261625239858404,0.01054241249221377,0.025272,0.0,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.020931687497068197,0.031968789978418496,0.0357845874823397,0.048750569974072275,0.022702486958980573,0.16745349997654557,0.2862766998587176,1.0,0.0005574624810833484,0.0005281249905237928,0.004343750013504177,2.476469494047619,8.25,10.5,5.5,1.0,0.13975227355067302,0.1280635888548931,0.10598597978959123,0.00061918752908241,0.013023362509557046,0.026208,0.0,0.0,0.0,0.0
