iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.02864849998150021,0.046049700002186,0.02864849998150021,0.046049700002186,0.02314276931533015,True,1.1095289182587e-15,0.000663100159727037,0.001307999948039651,0.0008373999735340476,0.01498350000474602,32448,0.0,0.007429000339470804,7,13,3,6,0,0,0,1.986049107142857,True,2,1.039295243853812
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.02848099998664111,0.04468100005760789,0.05712949996814132,0.09073070005979389,0.023079130755805206,True,4.1904485274186416e-15,0.0005543000297620893,4.710000939667225e-05,0.0005717999301850796,0.01602029998321086,32448,0.0,0.006204099976457655,8,13,3,5,0,0,0,2.3736979166666665,True,2,1.0454733569802337
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.019002600107342005,0.04574760003015399,0.07613210007548332,0.13647830008994788,0.023015740982685568,True,1.9269646942221307e-15,0.0009199001360684633,6.73000467941165e-05,0.0004579999949783087,0.02658900001551956,27456,0.0,0.00503300002310425,10,11,5,1,0,0,0,3.0089285714285716,True,2,1.043103000057652
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.015195699990727007,0.022160900058224797,0.09132780006621033,0.15863920014817268,0.02295259893533153,True,1.696953285405286e-15,0.0008088001050055027,4.429998807609081e-05,0.0004902000073343515,0.005397000000812113,32448,0.0,0.006292499601840973,9,13,3,4,0,0,0,2.6402529761904763,True,2,1.0475004379726085
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.030296600074507296,0.03754510008729994,0.12162440014071763,0.19618430023547262,0.02288970355792294,True,2.2813664943870954e-15,0.00047289987560361624,4.5599997974932194e-05,0.0004876999882981181,0.005180999985896051,17472,0.0,0.003175599966198206,7,7,9,0,0,0,0,2.1315104166666665,True,4,0.665293823970313
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.017777399974875152,0.032344100065529346,0.13940180011559278,0.22852840030100197,0.022827053799436278,True,9.371360918460988e-16,0.000865899957716465,6.470002699643373e-05,0.00046369992196559906,0.013828899944201112,19968,0.0,0.003481200081296265,8,8,8,0,0,0,0,2.4946056547619047,True,4,0.6673316714136297
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.04009280004538596,0.06159210007172078,0.17949460016097873,0.29012050037272274,0.02276464861362176,True,8.28028417508636e-16,0.0008503998396918178,4.800001624971628e-05,0.0005667000077664852,0.019433300010859966,24960,0.0,0.004484500270336866,9,10,6,1,0,0,0,2.763206845238095,True,4,0.6274396559726487
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.015162700088694692,0.03009450004901737,0.19465730024967343,0.3202150004217401,0.022702486958980573,True,1.6021483794827829e-15,0.0008689999813213944,4.109996370971203e-05,0.00048429996240884066,0.013078800053335726,17472,0.0,0.0028772999066859484,7,7,9,0,0,0,0,2.141369047619048,True,4,0.6872545851037211
0,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0071:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.013984499964863062,0.019167699967510998,0.013984499964863062,0.019167699967510998,0.02314276931533015,True,0.0,0.0010676998645067215,0.0027299000648781657,0.000521100009791553,0.005045700003392994,19968,0.0,0.002601700136438012,8,8,0,0,0,0,0,1.0,False,2,1.039295243853812
1,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0108:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.023707900079898536,0.028939299983903766,0.0376924000447616,0.048106999951414764,0.023079130755805206,True,0.0,0.0006974999560043216,0.0030635000439360738,0.000443600001744926,0.005093500018119812,19968,0.0,0.002796399872750044,8,8,0,0,0,0,0,1.0,False,2,1.0454733569802337
