strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.028718250003294088,0.04747571503394282,0.043724725022912025,0.0657335700583644,0.02298547642392697,0.2297460000263527,0.3497978001832962,1.0,0.00024677501642145216,0.00089888738875743,0.005078012487501837,2.5811709449404763,8.5,10.25,5.75,1.0,0.0,0.0,0.0,0.0005923625285504386,0.014445400011027232,0.025584,0.0,0.0,0.0,0.0
rltune_style_selector,0.03568263747729361,0.057558294967748225,0.05338446247333195,0.0682271399651654,0.02298547642392697,0.2854610998183489,0.4270756997866556,1.0,0.002826750001986511,0.0008335250022355467,0.0031175750045804307,1.3777436755952381,8.0,8.25,1.75,0.25,-0.24250737677959772,-0.21237341926491995,-0.22092162833175424,0.0006053374818293378,0.01717762502084952,0.020592,0.0,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.04042299998400267,0.05831845996435731,0.05497581246891059,0.07632110994309187,0.02298547642392697,0.3233839998720214,0.4398064997512847,1.0,0.0008748874970478937,0.000771849969169125,0.002324425004189834,1.0,8.0,8.0,0.0,0.0,-0.4075718394876431,-0.2283850790380399,-0.2573163682585294,0.0005328124825609848,0.014443924999795854,0.019968,0.0,0.0,0.0,0.0
guarded_system_portfolio,0.027984949992969632,0.046122504991944875,0.0428855000063777,0.05424976505455561,0.02298547642392697,0.22387959994375706,0.3430840000510216,1.0,0.0009846999746514484,0.0006465125479735434,0.0036386750143719837,2.110746837797619,8.125,9.125,4.875,0.75,0.025534286045993178,0.028503205081386727,0.019193374368725463,0.00038598751416429877,0.013581974999397062,0.022776,0.0,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.02084766249754466,0.025188724987674504,0.0423154874733882,0.05074322498403489,0.02298547642392697,0.1667812999803573,0.3385238997871056,1.0,0.0006448874773923308,0.000684324957546778,0.0043399499845691025,2.344447544642857,7.875,10.0,6.0,1.0,0.2740622254088129,0.4694397973855519,0.03222976356707501,0.0006308874872047454,0.020697700005257502,0.02496,0.0,0.0,0.0,0.0
