iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.028706600074656308,0.04363369999919087,0.028706600074656308,0.04363369999919087,0.028663140005633636,True,2.1727492905721985e-15,0.0004290001234039664,0.0008981999708339572,0.0006874999962747097,0.01477910007815808,29952,0.0,0.004556400002911687,8,12,4,4,0,0,0,2.251860119047619,True,2,0.8764947999097725
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.015781300025992095,0.03069279994815588,0.0444879001006484,0.07432649994734675,0.02859377277293419,True,1.6869363016505927e-15,0.0006494001718237996,5.3600058890879154e-05,0.0003996000159531832,0.014786800020374358,29952,0.0,0.004070499911904335,8,12,4,4,0,0,0,2.371279761904762,True,2,0.9761441242518946
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.01855120004620403,0.024597299983724952,0.06303910014685243,0.0989237999310717,0.02852464131728856,True,5.93995257398358e-16,0.0006253001047298312,2.8799986466765404e-05,0.00044189998880028725,0.002966900006867945,24960,0.0,0.003586700069718063,10,10,6,0,0,0,0,3.0013020833333335,True,2,0.9626911643839475
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.02153629995882511,0.027540600043721497,0.08457540010567755,0.1264643999747932,0.02845574476226045,True,1.0612652031785719e-15,0.000466599827632308,1.919991336762905e-05,0.0005837000207975507,0.003794299904257059,27456,0.0,0.003940599737688899,9,11,5,2,0,0,0,2.7485119047619047,True,2,1.0209349441986277
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.02433829999063164,0.04014249995816499,0.10891370009630919,0.16660689993295819,0.028387082234947802,True,1.6555915851597921e-15,0.0002835000632330775,2.3099943064153194e-05,0.0007302999729290605,0.015722899930551648,19968,0.0,0.0026560002006590366,8,8,8,0,0,0,0,2.4992559523809526,True,4,0.5312587972491272
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.022054399945773184,0.02776520000770688,0.13096810004208237,0.19437209994066507,0.028318652865967384,True,1.1226435567921845e-15,0.0005333999870344996,2.5099958293139935e-05,0.00041660002898424864,0.003819699981249869,19968,0.0,0.0031054001301527023,8,8,8,0,0,0,0,2.4970238095238093,True,4,0.4382422326361073
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.01817799999844283,0.033987200004048645,0.1491461000405252,0.2283592999447137,0.028250455789439636,True,1.1171403689612727e-15,0.0009303999831900001,2.059992402791977e-05,0.00046690006274729967,0.015090600005351007,19968,0.0,0.0029175998643040657,8,8,8,0,0,0,0,2.502790178571429,True,4,0.6749486583731394
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.07033659995067865,0.09576990001369268,0.21948269999120384,0.3241291999584064,0.02818249014297335,True,1.1860435200195805e-15,0.0010489000706002116,2.8099981136620045e-05,0.00042399996891617775,0.022656999994069338,27456,0.0,0.004417700110934675,11,11,5,0,0,0,0,3.2533482142857144,True,4,0.6076291607487723
0,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0072:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.0283655000384897,0.04240350006148219,0.0283655000384897,0.04240350006148219,0.028663140005633636,True,0.0,0.00048679986502975225,0.0018204000080004334,0.0006231000879779458,0.013917300035245717,19968,0.0,0.0019119000062346458,8,8,0,0,0,0,0,1.0,False,2,0.8764947999097725
1,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0206:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.030444500036537647,0.04393400007393211,0.05881000007502735,0.0863375001354143,0.02859377277293419,True,0.0,0.0006479998119175434,0.001725599984638393,0.00042539997957646847,0.01339110010303557,19968,0.0,0.0021022000582888722,8,8,0,0,0,0,0,1.0,False,2,0.9761441242518946
2,rltune_style_selector,rltune-style-rank:balanced_d2_d3:pred_barrier=0.0232:pred_prefix=7,synthetic,phase,none,0.014,8,8,1600,240,0.028930300031788647,0.043992700055241585,0.087740300106816,0.1303302001906559,0.028524641317288556,True,1.955143409988072e-15,0.0003874999238178134,0.0023460000520572066,0.0011225000489503145,0.014929800061509013,32448,0.0,0.00371890002861619,8,13,3,5,0,0,0,2.369791666666667,True,2,0.9626911643839475
3,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0289:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.016806399915367365,0.020009799976833165,0.10454670002218336,0.15034000016748905,0.02845574476226045,True,0.0,0.000597200240008533,0.0015048999339342117,0.0003801999846473336,0.00313510000705719,19968,0.0,0.0016314999666064978,8,8,0,0,0,0,0,1.0,False,2,1.0209349441986277
