external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
k3s,16,31,speculative_replication,10.73479562495545,5.0125737132536266,7.540758499970938,7.0054329375039375,0.3487508387637151,cancel,speculative_replication,speculative_replication,speculative_replication,speculative_replication,speculative_replication
k3s,16,31,sparse_flexible_static,14.402939500001775,7.056529463707457,10.724155749983325,9.854241124997962,0.3204879741759662,cancel,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,31,original_sfcl_static,14.403720625040199,7.119080696509658,10.672631500028713,9.876547437514143,0.3195030539482403,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
k3s,16,31,worker_aware_sparse_flexible,14.732012624961,7.6312305859835465,11.077466749981111,10.380388812492868,0.29916785154426323,cancel,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible
k3s,16,31,rank_aware_sparse_flexible,14.253052749978625,7.061218789825433,10.658742499998649,9.843480374996663,0.31189892196746105,cancel,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible
k3s,16,31,deadline_aware_sparse_flexible,16.10296174996501,6.928734348050953,10.462013999983837,9.636978187515375,0.3637247965227237,cancel,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible
k3s,16,31,system_portfolio,10.128055500075526,5.651043425780909,7.683858875026237,7.524647312521806,0.2542093013883923,cancel,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,31,guarded_system_portfolio,10.517629499986413,5.63824254882062,7.72505937501925,7.527157187524744,0.2783275617578276,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,31,online_counter_guard_rank_aware_sparse_flexible,14.333727250061624,7.11456092735447,10.726122500074112,9.8776029375642,0.31492813239509443,cancel,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible
k3s,16,31,online_counter_guard_deadline_aware_sparse_flexible,14.34313487501975,6.9855854156145725,10.64168812501975,9.777099812481481,0.32167816873921773,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
