external_mode,n_workers,seed,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,method,source,artifact,uses_first_decode_features,notes
k3s,16,43,guarded_system_portfolio,9.8859942501121,10.799661649934844,6.928250625037387,1.0,0.0,1.0,0.6260176251088999,2.9005811250044253,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,53,speed_aware_uncoded,9.683917750294261,10.381803250174896,6.644945125231012,1.0,0.0,1.0,0.7022286250730125,2.9788191252463996,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,53,sparse_flexible_static,14.622220250089363,15.715097000156646,8.493903500266201,2.226399739583333,3.875,1.0,0.5914551248906375,3.567246125044175,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,53,system_portfolio,10.189432499942038,13.788935300180961,6.822800000008975,1.1389508928571428,0.25,1.0,0.5825902501328125,2.9394389999878996,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,53,guarded_system_portfolio,9.274942500155664,9.772162399849492,6.341601000144663,1.0,0.0,1.0,0.6848929999704875,2.8722991251015126,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,7,speed_aware_uncoded,9.676769999998614,10.13796485001418,6.668296375039475,1.0,0.0,1.0,0.659629124925175,2.9448788750982624,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,7,sparse_flexible_static,14.336509249915213,15.749571400124264,8.507078999855313,2.225399925595238,3.75,1.0,0.640454874940075,3.7216846249065876,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,7,system_portfolio,10.23638350005735,13.276560949930102,6.7692457499788,1.124139694940476,0.625,1.0,0.5963735000590874,3.09634262498545,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,7,guarded_system_portfolio,9.444258999963001,9.95298244990858,6.477649874966525,1.0,0.0,1.0,0.614628124878825,2.9058802500685004,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,24,11,speed_aware_uncoded,12.740893125169313,13.311056200063746,8.361095250052088,1.0,0.0,1.0,0.920745874964225,4.3107403749899875,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,24,11,sparse_flexible_static,15.304111250088638,16.44609180007131,7.510964499942875,1.9636579241071428,9.875,1.0,0.6792882501258125,5.764599875078538,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,24,11,system_portfolio,12.65307312530691,13.010308650154869,8.171333249833825,1.0,0.0,1.0,0.847132874810025,4.4090011249408505,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,24,11,guarded_system_portfolio,12.518354625285538,12.96626145021937,8.051442625060151,1.0,0.0,1.0,0.9158372502042375,4.3961260000741875,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,24,17,speed_aware_uncoded,12.429669625021198,13.069377650208466,7.961501624890788,1.0,0.0,1.0,0.7728962500550001,4.399108750249025,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,24,17,sparse_flexible_static,15.974906124824825,16.891616500151866,8.350059374947664,2.4874674479166665,8.875,1.0,0.7326168750978,5.674299624729387,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,24,17,system_portfolio,12.174467500017201,12.81759524999865,7.814067250137625,1.0,0.0,1.0,0.8323749999589874,4.290321999860625,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,24,17,guarded_system_portfolio,12.11348987499145,12.809469050443976,7.709496875122513,1.0,0.0,1.0,0.9631177501887125,4.3345972500219,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,24,23,speed_aware_uncoded,12.14969124987414,13.20884865003786,7.7788392499087005,1.0,0.0,1.0,0.7778626252274375,4.300908999994101,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,24,23,sparse_flexible_static,15.352207499972737,17.09763949925209,7.8141673749314124,2.446475074404762,8.0,1.0,0.7251122500519624,5.708415249841837,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,24,23,system_portfolio,12.1415725000133,12.850164700102974,7.658432749849399,1.0,0.0,1.0,0.8638833746771875,4.4086330001391,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,24,23,guarded_system_portfolio,12.0755988752989,12.544945150148115,7.673996125390612,1.0,0.0,1.0,0.7738900001185876,4.321978000120862,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,24,31,speed_aware_uncoded,13.085300750049038,13.821420900103435,8.622165124961564,1.0,0.0,1.0,0.73323262506615,4.390017125047012,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,24,31,sparse_flexible_static,16.212895374906076,19.394580699508875,8.388977749973437,2.553408668154762,8.5,1.0,0.686770750121425,5.6137573749310254,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,24,31,system_portfolio,12.721545124804788,13.275832500130411,8.235530499746275,1.0,0.0,1.0,0.784269124778725,4.4163070000422,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,24,31,guarded_system_portfolio,12.780270624943963,13.600115649660388,8.273658749885675,1.0,0.0,1.0,0.73209062509245,4.435602249827689,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,24,37,speed_aware_uncoded,12.5902973750271,13.361173199882595,8.214338374841601,1.0,0.0,1.0,0.8305577498503749,4.300211625149987,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,24,37,sparse_flexible_static,16.019938250224136,17.607527900190604,8.050047250208038,2.224632626488095,10.0,1.0,0.6697886249184625,5.861414875198475,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,24,37,system_portfolio,12.734818874832788,13.462948249662,8.317806249920013,1.0,0.0,1.0,0.7986426249999126,4.344464249925225,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,24,37,guarded_system_portfolio,12.579296249896236,13.401213750148525,8.118030499986114,1.0,0.0,1.0,0.8875147502748875,4.389539500039025,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
