iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.018754899967461824,0.03095519996713847,0.018754899967461824,0.03095519996713847,0.024104446286569076,True,1.2988897687191237e-15,0.0007490998832508922,0.0013782000169157982,0.003952000057324767,0.007780799991451204,29952,0.036958464,0.005159299820661545,9,12,20,3,0,0,0,2.2412574404761902,False,4,0.8571780545721117
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.01911730004940182,0.02843649999704212,0.037872200016863644,0.05939169996418059,0.024048263193405285,True,1.2294184886990688e-15,0.000574700185097754,3.0399998649954796e-05,0.0038750000530853868,0.007377900066785514,37440,0.046198079999999996,0.005550100118853152,12,15,17,3,0,0,0,3.0005580357142856,False,4,0.8635240845853565
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.019526800024323165,0.04774910002015531,0.05739900004118681,0.1071407999843359,0.023992261341206824,True,7.216449660063517e-16,0.00048319995403289795,5.789997521787882e-05,0.003988999989815056,0.02785539999604225,47424,0.058517567999999985,0.008012799895368516,9,19,13,10,0,0,0,2.254092261904762,False,4,0.8468982744753729
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.03225119994021952,0.0593976000091061,0.08965019998140633,0.166538399993442,0.023936440106903004,True,8.120581339769891e-16,0.0005555000388994813,7.429998368024826e-05,0.003999700071290135,0.026768599986098707,64896,0.08007667199999997,0.012762299971655011,9,26,6,17,0,0,0,2.261346726190476,False,4,0.8954464183866027
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.03314970002975315,0.04706070001702756,0.12279990001115948,0.21359910001046956,0.023880798869681637,True,6.877560572917588e-16,0.0004878001054748893,5.1200040616095066e-05,0.003995400038547814,0.012423899956047535,42432,0.05235782399999999,0.009001700324006379,9,17,15,8,0,0,0,2.374255952380952,True,7,0.7220251124742035
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.03225640009623021,0.04559810005594045,0.1550563001073897,0.25919720006641,0.023825337010980493,True,2.3035455677662884e-15,0.00047410023398697376,5.9399986639618874e-05,0.0038926000706851482,0.011729799909517169,34944,0.043118208,0.007645799778401852,10,14,18,4,0,0,0,2.8755580357142856,True,7,0.6846508033427641
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.03152830002363771,0.06231660000048578,0.1865846001310274,0.3215138000668958,0.02377005391447882,True,5.167906319275407e-15,0.0004751001251861453,5.8699981309473515e-05,0.004182599950581789,0.02800529997330159,39936,0.04927795199999999,0.008447799598798156,8,16,16,8,0,0,0,1.9931175595238095,False,7,0.682319643324544
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.027076600003056228,0.037323699914850295,0.21366120013408363,0.3588374999817461,0.02371494896608883,True,4.971270767759186e-15,0.0016235997900366783,5.710008554160595e-05,0.004413199960254133,0.009878599899820983,44928,0.05543769599999999,0.009547300171107054,12,18,14,6,0,0,0,3.382998511904762,True,7,0.6347775751609245
0,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0033:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.03511579998303205,0.06293859996367246,0.03511579998303205,0.06293859996367246,0.024104446286569076,True,1.9626155733547187e-16,0.0006465999176725745,0.0035908001009374857,0.004201999981887639,0.027600500034168363,39936,0.04927795199999999,0.005574599956162274,13,16,0,3,0,0,0,1.6329985119047623,False,4,0.8571780545721117
1,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0128:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.03513029997702688,0.05682950001209974,0.07024609996005893,0.1197680999757722,0.024048263193405285,True,0.0,0.0006257001077756286,0.003921999945305288,0.00435010006185621,0.0214372999034822,19968,0.024638976000000003,0.0026733000995591283,8,8,0,0,0,0,0,1.0,False,4,0.8635240845853565
