strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.026707650016760454,0.03283704505302012,0.04485468749771826,0.061294950003502886,0.02371494896608883,0.21366120013408363,0.3588374999817461,1.0,0.00022090000857133418,0.000677887539495714,0.008265887459856458,2.5478980654761902,9.75,17.125,14.875,0.375,0.0,0.0,0.0,0.004037437523948029,0.01647753747238312,0.042744,0.05274280799999999,0.0,0.0,0.0
rltune_style_selector,0.026620999982696958,0.03580519497045316,0.048725649976404384,0.06152291998150758,0.02371494896608883,0.21296799986157566,0.38980519981123507,1.0,0.0035949625016655773,0.0008052250050241128,0.0036677749740192667,1.1414620535714286,9.125,11.0,0.0,0.0,0.003244390053378648,-0.09039028672161392,-0.08630006571516162,0.004673712493968196,0.021898274979321286,0.027456,0.033878592,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.02736691250174772,0.03684965503052808,0.047263775020837784,0.06053906503948383,0.02371494896608883,0.21893530001398176,0.37811020016670227,1.0,0.002212575011071749,0.000876312522450462,0.0033340249792672694,1.0,8.0,8.0,0.0,0.0,-0.024684406324537896,-0.12219765728094685,-0.053708712678960775,0.004830487523577176,0.019655187512398697,0.019968,0.024638976000000003,0.0,0.0,0.0
guarded_system_portfolio,0.024492112497682683,0.03279506503604352,0.04321791252004914,0.05592951001017354,0.02371494896608883,0.19593689998146147,0.3457433001603931,1.0,0.00277563750569243,0.001041862487909384,0.0035758999874815345,1.0,8.0,8.0,0.0,0.0,0.08295516519377048,0.0012784346736685638,0.03649061154984932,0.005022762517910451,0.01847049999923911,0.019968,0.024638976000000003,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.030555624965927564,0.03412951999926008,0.051946187479188666,0.06350902500562369,0.02371494896608883,0.2444449997274205,0.4155694998335093,1.0,0.0018417499959468842,0.0009535750577924773,0.013957537477836013,2.4657738095238093,9.375,20.75,11.25,0.5,-0.14407763119377046,-0.03936026960261123,-0.15809941785529433,0.00537288750638254,0.02014937499188818,0.051792,0.06390734399999998,0.0,0.0,0.0
