strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.026595099989208393,0.034320044948253775,0.042337012506322935,0.0583792499906849,0.03153804797123522,0.21276079991366714,0.3386961000505835,1.0,0.0001281249860767275,0.0007761874585412443,0.0033570000086911023,2.3941127232142856,8.0,9.375,6.625,1.0,0.0,0.0,0.0,0.00385203750920482,0.014548062506946735,0.0234,0.028873800000000005,0.0,0.0,0.0
rltune_style_selector,0.03239423748163972,0.041688364994479345,0.050002287491224706,0.06112095498247072,0.03153804797123522,0.25915389985311776,0.40001829992979765,1.0,0.0019758000125875697,0.0006267000862862915,0.0024693625164218247,1.4373372395833335,7.75,8.625,2.375,0.375,-0.21805285540511105,-0.21469435886040336,-0.18105375252344458,0.003787975016166456,0.017072200003894977,0.021528,0.026563896000000004,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.037419675005367026,0.0587205899937544,0.05274565002764575,0.06360839503468015,0.03153804797123522,0.2993574000429362,0.421965200221166,1.0,0.0007815000135451555,0.0007332624663831666,0.0021585499198408797,1.0,8.0,8.0,0.0,0.0,-0.40701388678933215,-0.7109706610900619,-0.2458519603802538,0.0038557000079890713,0.015219987530144863,0.019968,0.024638976000000003,0.0,0.0,0.0
guarded_system_portfolio,0.02619528750074096,0.0363597399496939,0.03994727499957662,0.059014669997850426,0.03153804797123522,0.20956230000592768,0.31957819999661297,1.0,0.0009309875167673454,0.0007033125148154795,0.0034742750431178138,2.1401599702380953,7.25,8.75,7.25,1.0,0.015033313980006324,-0.05943159469970064,0.056445586622093674,0.003889074985636398,0.0121433625172358,0.02184,0.026948880000000005,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.02889999997569248,0.03324143497738987,0.04738526247092523,0.06213746002176776,0.03153804797123522,0.23119999980553985,0.3790820997674018,1.0,0.0007687625184189528,0.0005855624767718837,0.004588300012983382,2.3258696056547623,7.75,9.375,6.625,1.0,-0.08666634031905716,0.031427988293435634,-0.11923963609497357,0.003943162519135512,0.016533862522919662,0.0234,0.028873800000000005,0.0,0.0,0.0
