strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.02505706250667572,0.039093295001657674,0.04911071252718102,0.07579434501822106,0.02298547642392697,0.20045650005340576,0.3928857002174482,1.0,0.0002601624873932451,0.0006516124994959682,0.0126967124233488,2.5495489211309526,9.375,20.875,11.125,1.0,0.0,0.0,0.0,0.0008169124921550974,0.022202274994924664,0.052104,0.0,0.0,0.0,0.0
rltune_style_selector,0.021230325030046515,0.03148062002728693,0.04309531251783483,0.06226779000135138,0.02298547642392697,0.16984260024037212,0.3447625001426786,1.0,0.0034985125093953684,0.0006010749493725598,0.0029792499699397013,1.0155784970238095,8.125,9.0,0.0,0.0,0.152720913539234,0.19473096279164862,0.1224865146482427,0.0007780874875606969,0.021653612493537366,0.022464,0.0,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.017326862493064255,0.029905995028093456,0.03438066251692362,0.06073397001600824,0.02298547642392697,0.13861489994451404,0.27504530013538897,1.0,0.00178588749258779,0.0007615750364493579,0.0031402500171680003,1.0,8.0,8.0,0.0,0.0,0.3085038404462606,0.23500960901798246,0.2999355792711182,0.0010950500291073695,0.01685677499335725,0.019968,0.0,0.0,0.0,0.0
guarded_system_portfolio,0.022728575029759668,0.033257525041699404,0.04768563751713373,0.0615670500381384,0.02298547642392697,0.18182860023807734,0.3814851001370698,1.0,0.002726237478782423,0.0008042249246500432,0.0034327375178691,1.0,8.0,8.0,0.0,0.0,0.0929273922789511,0.14927802733718956,0.029017599963726166,0.0010293999803252518,0.024687049983185716,0.019968,0.0,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.026162400012253784,0.03041641996242106,0.05126773752272129,0.061612595012411474,0.02298547642392697,0.20929920009803027,0.4101419001817703,1.0,0.0018344124837312847,0.0009341873956145719,0.017978100251639262,2.485072544642857,9.125,22.375,9.625,0.875,-0.04411281271631815,0.22195302388475283,-0.04392167990530442,0.0007637375092599541,0.02375256251252722,0.055848,0.0,0.0,0.0,0.0
