external_mode,strategy,method,source,artifact,uses_first_decode_features,notes,w8_mean_barrier_ms,w8_p95_barrier_ms,w8_gain_percent,w8_regressions,w16_mean_barrier_ms,w16_p95_barrier_ms,w16_gain_percent,w16_regressions,w24_mean_barrier_ms,w24_p95_barrier_ms,w24_gain_percent,w24_regressions,avg_p95_barrier_ms,avg_extra_compute,avg_cancel_ms
network_stress,original_sfcl_static,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,49.44477655772057,88.59598003909908,0.0,0,53.179857808572656,70.96496996236954,0.0,0,60.861193753225905,93.31367996055631,0.0,0,84.29154332067498,2.5263885013640874,22.038580728500722
network_stress,rltune_style_selector,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",55.60319687356236,86.01416990859433,-12.455148439497153,7,53.09406249580202,76.95679491735049,0.16133046665800774,4,65.40910780677217,137.45662496075957,-7.4726008037021225,4,100.14252992890147,1.2088497101314484,23.154831247059775
network_stress,sailor_style_heterogeneity_aware,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,56.3332890724268,89.86163500812832,-13.931729485448791,7,53.33704531221878,71.24946000985796,-0.2955771416537747,4,55.48032969454648,67.64948999625618,8.84120689531204,4,76.25352833808081,1.0,20.608101559749482
network_stress,guarded_system_portfolio,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,48.38879219096266,73.86154996929687,2.135684374112162,3,53.08454999249075,83.94062999286677,0.17921788438204952,3,53.92714687332041,61.24247997067867,11.393215368106317,3,73.01488664428078,1.3744361514136905,20.360699997278623
network_stress,online_counter_guard_deadline_aware_sparse_flexible,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,47.9219765602465,79.9504700058605,3.079799532912028,3,55.81158437416884,81.59492500708429,-4.948728097524068,5,54.697195313565274,62.63228995958342,10.127961775862987,4,74.72589499084273,2.441928439670139,21.581332292650234
