external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
network_stress,16,37,online_counter_guard_deadline_aware_sparse_flexible,59.92857500677924,57.19008849745811,37.17203748237799,37.17203748237799,0.37974803793619744,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,16,43,original_sfcl_static,65.9189625148428,65.06606855078846,40.460537493345235,40.460537493345235,0.39245282356276434,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,16,43,rltune_style_selector,52.51460001454685,33.965430892015945,38.561487497645345,38.561487497645345,0.2603879404742702,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,16,43,sailor_style_heterogeneity_aware,52.063050025026264,31.240664456920044,33.633950035436925,33.633950035436925,0.3508208116646757,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,16,43,guarded_system_portfolio,57.54577502375465,30.641754711696414,36.51477501261971,36.51477501261971,0.34584696002744664,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,16,43,online_counter_guard_deadline_aware_sparse_flexible,54.21339998429171,53.058546482037286,33.959925029193876,33.959925029193876,0.3630717523877872,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,16,53,original_sfcl_static,60.71578750561453,59.81213801737505,36.620000013499414,36.620000013499414,0.3926885115851937,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,16,53,rltune_style_selector,74.06136252393475,41.97545610316924,45.24206252244756,45.24206252244756,0.3851889648085109,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,16,53,sailor_style_heterogeneity_aware,69.54583749757144,36.52300566093197,46.449587491224406,46.449587491224406,0.3347931586967909,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,16,53,guarded_system_portfolio,50.79197499435392,31.12688120513379,37.236737465718676,37.236737465718676,0.2648793369198461,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,16,53,online_counter_guard_deadline_aware_sparse_flexible,43.88351249508555,43.26591448463292,28.644862512010036,28.644862512010036,0.3347413843335803,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,16,7,original_sfcl_static,46.042350018979,43.86653052434506,27.203337551327337,27.203337551327337,0.39569146009328005,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,16,7,rltune_style_selector,50.48022500704969,37.45193248554636,33.33112502878054,33.33112502878054,0.32028321288460304,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,16,7,sailor_style_heterogeneity_aware,56.591324973851385,31.172426177521082,36.786912460229274,36.786912460229274,0.36053787520429137,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,16,7,guarded_system_portfolio,47.82931246154471,30.69317411521477,30.685499979881463,30.685499979881463,0.3647600653019286,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,16,7,online_counter_guard_deadline_aware_sparse_flexible,50.856100016972,49.349990462934414,32.336162519641114,32.336162519641114,0.3455391816625004,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
