iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.028783799964003265,0.05914279993157834,0.028783799964003265,0.05914279993157834,0.024104446286569076,True,8.500640653116038e-16,0.0008492997149005532,0.0025363999884575605,0.000573699944652617,0.02999960002489388,97344,0.0,0.02306679997127503,15,39,9,24,0,0,0,4.078497023809524,True,5,0.9981933516934925
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.030616599950008094,0.061282900045625865,0.05940039991401136,0.1204256999772042,0.024048263193405285,True,1.1247003100708812e-15,0.0005351998843252659,3.870006185024977e-05,0.0017340000486001372,0.030250899959355593,102336,0.0,0.017837699851952493,8,41,7,33,0,0,0,1.9920014880952381,False,5,0.9842217206989877
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.030067099956795573,0.06070249993354082,0.08946749987080693,0.18112819991074502,0.023992261341206824,True,1.9610448523561188e-15,0.0007329998770728707,3.839994315057993e-05,0.00043210003059357405,0.03024389990605414,107328,0.0,0.01649219961836934,8,43,5,35,0,0,0,1.9933035714285716,False,5,0.9731466231680866
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.013808200019411743,0.026540399994701147,0.10327569989021868,0.20766859990544617,0.023936440106903004,True,5.251601356122265e-16,0.0002665001666173339,4.030007403343916e-05,0.0005404999246820807,0.010320300003513694,87360,0.0,0.013454599888063967,7,35,13,28,0,0,0,1.7537202380952381,False,5,0.9831966333109597
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.017714899964630604,0.049690699903294444,0.12099059985484928,0.2573592998087406,0.023880798869681637,True,1.5886278982584416e-15,0.0004029999254271388,4.20999713242054e-05,0.0006344999419525266,0.02901999989990145,57408,0.0,0.010296299937181175,8,23,25,15,0,0,0,2.1162574404761902,True,11,0.5789377595241749
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.028599100071005523,0.043620900018140674,0.1495896999258548,0.3009801998268813,0.023825337010980493,True,1.1617623272539761e-15,0.0006096001015976071,3.890006337314844e-05,0.000636699958704412,0.014144700020551682,64896,0.0,0.009889899985864758,12,26,22,14,0,0,0,3.1026785714285716,True,11,0.6454162162555075
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.013777200016193092,0.028888799948617816,0.1633668999420479,0.3298689997754991,0.02377005391447882,True,1.3938716325034536e-15,0.0002962998114526272,7.869990076869726e-05,0.000422299955971539,0.014178299927152693,59904,0.0,0.009084400138817728,9,24,24,15,0,0,0,2.237165178571429,False,11,0.5756319293306554
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.030025099986232817,0.04478350002318621,0.1933919999282807,0.3746524997986853,0.02371494896608883,True,5.282317013800125e-15,0.0006280997768044472,3.3800024539232254e-05,0.0004909000126644969,0.014262699987739325,64896,0.0,0.010794400237500668,9,26,22,17,0,0,0,2.3597470238095237,True,11,0.5943955549765696
0,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0029:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.027803300064988434,0.05941870005335659,0.027803300064988434,0.05941870005335659,0.024104446286569076,True,1.6184142622847341e-16,0.00034339993726462126,0.002850300050340593,0.0010363999754190445,0.03134659992065281,59904,0.0,0.006409000139683485,10,24,0,14,0,0,0,1.258184523809524,False,5,0.9981933516934925
1,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0121:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.026998799992725253,0.05533469992224127,0.05480210005771369,0.11475339997559786,0.024048263193405285,True,0.0,0.0005506002344191074,0.004566200077533722,0.000852599972859025,0.028176399995572865,19968,0.0,0.0019749997882172465,8,8,0,0,0,0,0,1.0,False,5,0.9842217206989877
2,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0299:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.028117600013501942,0.056954699917696416,0.08291970007121563,0.17170809989329427,0.023992261341206824,True,0.0,0.0007415000582113862,0.003935100045055151,0.0008039000676944852,0.028694999986328185,19968,0.0,0.002295200014486909,8,8,0,0,0,0,0,1.0,False,5,0.9731466231680866
3,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0334:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.028831499977968633,0.057318200008012354,0.11175120004918426,0.22902629990130663,0.023936440106903004,True,0.0,0.0005230000242590904,0.0034706000005826354,0.0006516999565064907,0.028280100086703897,19968,0.0,0.0019162999233230948,8,8,0,0,0,0,0,1.0,False,5,0.9831966333109597
4,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0362:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.027720100013539195,0.04069860000163317,0.13947130006272346,0.2697248999029398,0.023880798869681637,True,0.0,0.0004293998936191201,0.0028788000345230103,0.0008056000806391239,0.012770300032570958,19968,0.0,0.0022037000162526965,8,8,0,0,0,0,0,1.0,False,11,0.5789377595241749
5,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0327:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.031973900040611625,0.06110569997690618,0.17144520010333508,0.330830599879846,0.023825337010980493,True,0.0,0.0007080996874719858,0.004557700012810528,0.0009636000031605363,0.02895669999998063,19968,0.0,0.0023047999711707234,8,8,0,0,0,0,0,1.0,False,11,0.6454162162555075
6,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0361:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.029662200016900897,0.057976000010967255,0.20110740012023598,0.38880659989081323,0.02377005391447882,True,0.0,0.0004743001190945506,0.0027013999642804265,0.0007353000110015273,0.028098899987526238,19968,0.0,0.0023701998870819807,8,8,0,0,0,0,0,0.9999999999999999,False,11,0.5756319293306554
7,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0376:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.02645890007261187,0.05638279998674989,0.22756630019284785,0.4451893998775631,0.02371494896608883,True,0.0,0.00038290012162178755,0.0027369000017642975,0.0008175000548362732,0.029666999937035143,19968,0.0,0.0019853999838232994,8,8,0,0,0,0,0,1.0,False,11,0.5943955549765696
0,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0014,synthetic,phase,none,0.014,24,8,1600,240,0.030603599967435002,0.060082699987106025,0.030603599967435002,0.060082699987106025,0.024104446286569076,True,0.0,0.0005278001772239804,0.001906599965877831,0.0007165999850258231,0.029312800033949316,19968,0.0,0.0021103002363815904,8,8,0,0,0,0,0,1.0,False,5,0.9981933516934925
1,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0016,synthetic,phase,none,0.014,24,8,1600,240,0.028517700033262372,0.04388250003103167,0.059121300000697374,0.1039652000181377,0.024048263193405285,True,0.0,0.0003871999215334654,0.0011492000194266438,0.0006364999571815133,0.015139800030738115,19968,0.0,0.0025746000465005636,8,8,0,0,0,0,0,1.0,False,5,0.9842217206989877
2,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0015,synthetic,phase,none,0.014,24,8,1600,240,0.015400899923406541,0.044413499999791384,0.07452219992410392,0.14837870001792908,0.023992261341206824,True,0.0,0.00034849997609853745,0.0013874999713152647,0.0006715999916195869,0.028805400012061,19968,0.0,0.002463199896737933,8,8,0,0,0,0,0,1.0,False,5,0.9731466231680866
3,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0015,synthetic,phase,none,0.014,24,8,1600,240,0.015671600005589426,0.029093400109559298,0.09019379992969334,0.17747210012748837,0.023936440106903004,True,0.0,0.0004882998764514923,0.001167000038549304,0.0005206000059843063,0.013299799989908934,19968,0.0,0.0018643001094460487,8,8,0,0,0,0,0,1.0,False,5,0.9831966333109597
4,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0023,synthetic,phase,none,0.014,24,8,1600,240,0.010498999967239797,0.030027200002223253,0.10069279989693314,0.20749930012971163,0.023880798869681637,True,0.0,0.0005035999929532409,0.0011509000323712826,0.0006835999665781856,0.019368499983102083,19968,0.0,0.00190100003965199,8,8,0,0,0,0,0,1.0,False,11,0.5789377595241749
5,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0019,synthetic,phase,none,0.014,24,8,1600,240,0.02824959997087717,0.059010199969634414,0.1289423998678103,0.26650950009934604,0.023825337010980493,True,0.0,0.00041280011646449566,0.0018347000004723668,0.0006438000127673149,0.030502600013278425,19968,0.0,0.0023567999014630914,8,8,0,0,0,0,0,0.9999999999999999,False,11,0.6454162162555075
6,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0021,synthetic,phase,none,0.014,24,8,1600,240,0.027617799933068454,0.0580309999641031,0.15656019980087876,0.32454050006344914,0.02377005391447882,True,0.0,0.0005460998509079218,0.0017007000278681517,0.0007537000346928835,0.02995070000179112,19968,0.0,0.0024140001041814685,8,8,0,0,0,0,0,0.9999999999999999,False,11,0.5756319293306554
7,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0021,synthetic,phase,none,0.014,24,8,1600,240,0.013948099920526147,0.044094599899835885,0.1705082997214049,0.36863509996328503,0.02371494896608883,True,0.0,0.000408099964261055,0.0014118999242782593,0.000615099910646677,0.029938500025309622,19968,0.0,0.002226100186817348,8,8,0,0,0,0,0,1.0,False,11,0.5943955549765696
