iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.02907809999305755,0.05460269993636757,0.02907809999305755,0.05460269993636757,0.028663140005633636,True,2.2466591192813535e-15,0.0010921998182311654,0.003944299998693168,0.005517599987797439,0.024712400045245886,97344,0.12011500799999994,0.03661980014294386,10,39,9,29,0,0,0,2.6238839285714284,True,5,0.9058651942036899
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.035409700009040534,0.06238650006707758,0.06448780000209808,0.11698920000344515,0.02859377277293419,True,9.526269940513261e-16,0.000990300322882831,7.639999967068434e-05,0.004414000082761049,0.026185499969869852,109824,0.13551436799999997,0.03459199983626604,9,44,4,35,0,0,0,2.3601190476190474,True,5,0.8821616442029431
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.03335520008113235,0.06178180000279099,0.09784300008323044,0.17877100000623614,0.028524641317288556,True,1.2573000033218177e-15,0.0008512999629601836,0.00013589998707175255,0.004419400007463992,0.02709420002065599,104832,0.12935462399999995,0.029669600422494113,8,42,6,34,0,0,0,2.004092261904762,False,5,0.9228304913099764
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.026604100014083087,0.07558050006628036,0.12444710009731352,0.2543515000725165,0.02845574476226045,True,5.147892387644516e-16,0.0009435000829398632,6.0699996538460255e-05,0.0058605000376701355,0.04823519999627024,104832,0.12935462399999995,0.032934999908320606,8,42,6,34,0,0,0,2.0031622023809526,False,5,0.9238611217617416
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.05006350006442517,0.0890275000128895,0.1745106001617387,0.343379000085406,0.028387082234947802,True,6.944442800358887e-16,0.002265200368128717,6.620003841817379e-05,0.00448909995611757,0.038365600048564374,72384,0.08931628799999997,0.026943100383505225,18,29,19,11,0,0,0,5.37779017857143,True,11,0.5669587049103789
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.051416699890978634,0.09333149995654821,0.22592730005271733,0.4367105000419542,0.028318652865967384,True,9.363136817782114e-16,0.001193300005979836,8.750008419156075e-05,0.0075088000157848,0.03930349997244775,69888,0.08623641599999997,0.023827900062315166,10,28,20,18,0,0,0,2.854352678571428,True,11,0.5285260946474856
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.043912700028158724,0.09531200001947582,0.26984000008087605,0.53202250006143,0.028250455789439636,True,3.1675423656645453e-15,0.0019613996846601367,6.589991971850395e-05,0.009731100057251751,0.050609400030225515,69888,0.08623641599999997,0.02092979964800179,10,28,20,18,0,0,0,2.7617187499999996,True,11,0.5659732523448285
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.055815499974414706,0.1345551999984309,0.32565550005529076,0.666577700059861,0.02818249014297335,True,1.0532500405730103e-15,0.002329900162294507,7.269997149705887e-05,0.008367000031284988,0.07708980003371835,77376,0.09547603199999996,0.025089200120419264,14,31,17,17,0,0,0,4.244605654761905,True,11,0.6041894807796641
0,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0032:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.08434069994837046,0.15459639998152852,0.08434069994837046,0.15459639998152852,0.028663140005633636,True,2.0014830212433602e-16,0.0009341000113636255,0.010483400081284344,0.005876900046132505,0.06979660002980381,59904,0.07391692799999998,0.012173500377684832,16,24,0,8,0,0,0,2.0159970238095237,False,5,0.9058651942036899
1,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0278:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.0570265999995172,0.11740940005984157,0.14136729994788766,0.2720058000413701,0.02859377277293419,True,0.0,0.0009519999148324132,0.007612300105392933,0.007349800085648894,0.06004969996865839,19968,0.024638976000000003,0.003297200077213347,8,8,0,0,0,0,0,1.0,False,5,0.8821616442029431
