strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.0285929124802351,0.030582894996041433,0.0530533249839209,0.061591905000386755,0.02298547642392697,0.2287432998418808,0.4244265998713672,1.0,0.00022236251970753074,0.0004853249411098659,0.014386212584213354,2.2749720982142856,8.875,33.75,14.25,0.5,0.0,0.0,0.0,0.000499500019941479,0.022882899982505478,0.08424,0.0,0.0,0.0,0.0
rltune_style_selector,0.02326156251365319,0.02787611001986079,0.05150429999048356,0.058582550031132996,0.02298547642392697,0.1860925001092255,0.4120343999238685,1.0,0.0037631250015692785,0.0005123124137753621,0.002979599841637537,1.0780087425595237,8.625,12.0,0.0,0.0,0.18645704491514167,0.08850649935302078,0.029197510126025315,0.000756912530050613,0.028013962495606393,0.029952,0.0,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.023461137476260774,0.03124468998867087,0.04768355000123847,0.05963662001304328,0.02298547642392697,0.1876890998100862,0.3814684000099078,1.0,0.0014035750064067543,0.0005121875292388722,0.0019838749867631122,1.0,8.0,8.0,0.0,0.0,0.17947716964900565,-0.021639383476126057,0.10121467380809535,0.0006953874690225348,0.024042050004936755,0.019968,0.0,0.0,0.0,0.0
guarded_system_portfolio,0.02211038750829175,0.031559555034618825,0.04759200001717545,0.06043825005181134,0.02298547642392697,0.176883100066334,0.3807360001374036,1.0,0.001591237509273924,0.00046804996964056045,0.002341287487070076,1.0,8.0,8.0,0.0,0.0,0.22671789648656482,-0.03193484589028633,0.10294029579485618,0.0007327500061364844,0.02528897501179017,0.019968,0.0,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.02275740000186488,0.029892924980958923,0.04683937501977198,0.06188810005551204,0.02298547642392697,0.18205920001491904,0.3747150001581758,1.0,0.0010867999953916296,0.0005979375564493239,0.011957187613006681,2.4147135416666665,9.375,29.0,19.0,0.5,0.20408947435501815,0.02256065082039544,0.11712649425897834,0.0006604874943150207,0.02304709998134058,0.072384,0.0,0.0,0.0,0.0
