iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.025836599990725517,0.05722590000368655,0.025836599990725517,0.05722590000368655,0.023423760308299967,True,6.49741366860447e-16,0.0003701000241562724,0.001522200065664947,0.00030429998878389597,0.03094460000284016,102336,0.0,0.02337069984059781,6,41,7,35,0,0,0,1.4925595238095237,False,5,0.8136856090553822
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.03078040003310889,0.04767400003038347,0.05661700002383441,0.10489990003407001,0.023360403943576896,True,1.814119370099142e-15,0.0006636002799496055,3.69000481441617e-05,0.0006301000248640776,0.014753600000403821,102336,0.0,0.016864899545907974,11,41,7,30,0,0,0,2.885416666666667,True,5,0.7886166376508376
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.028530800016596913,0.044600200024433434,0.08514780004043132,0.14950010005850345,0.02329729750668942,True,2.697579229952798e-15,0.000642899889498949,4.600000102072954e-05,0.0005203000036999583,0.015682199969887733,109824,0.0,0.019512300263158977,8,44,4,36,0,0,0,1.986235119047619,False,5,0.802144049092519
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.029247700003907084,0.044699099962599576,0.1143955000443384,0.19419920002110302,0.02323443991215218,True,2.677226341016302e-15,0.00044319999869912863,3.350002225488424e-05,0.000556900049559772,0.014992499956861138,99840,0.0,0.016884899931028485,10,40,8,30,0,0,0,2.618303571428571,True,5,0.7877397338178826
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.02969709993340075,0.06225750001613051,0.14409259997773916,0.25645670003723353,0.023171830079526803,True,1.2977030258777233e-15,0.0006843999726697803,3.4100026823580265e-05,0.0005098000401630998,0.029269399936310947,67392,0.0,0.009818700607866049,10,27,21,17,0,0,0,2.609188988095238,True,11,0.7727044780455533
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.027109500020742416,0.06035579997114837,0.17120209999848157,0.3168125000083819,0.023109466933397303,True,2.8707907304472507e-15,0.0003090999089181423,3.250001464039087e-05,0.0004333000397309661,0.03042019996792078,62400,0.0,0.008718500030227005,9,25,23,16,0,0,0,2.245535714285714,False,11,0.6921511444137628
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.02732509991619736,0.05799529992509633,0.19852719991467893,0.37480779993347824,0.023047349403345557,True,6.579886408580703e-16,0.00042249972466379404,4.4599990360438824e-05,0.0005213000113144517,0.030435899971053004,59904,0.0,0.009606300038285553,11,24,24,13,0,0,0,2.8588169642857144,True,11,0.7013414594020526
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.030216099927201867,0.04961879993788898,0.2287432998418808,0.4244265998713672,0.02298547642392697,True,4.2457866502527573e-16,0.00034679973032325506,2.9099988751113415e-05,0.0005200000014156103,0.016564800054766238,69888,0.0,0.010313400416634977,6,28,20,22,0,0,0,1.5037202380952381,False,11,0.7101880035866731
0,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0042:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.023408400011248887,0.05341049993876368,0.023408400011248887,0.05341049993876368,0.023423760308299967,True,2.2548736224414665e-16,0.0005628999788314104,0.004318299936130643,0.0011309999972581863,0.02966330002527684,59904,0.0,0.005582299898378551,13,24,0,11,0,0,0,1.6240699404761902,False,5,0.8136856090553822
1,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0127:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.028043200029060245,0.057881199987605214,0.05145160004030913,0.11129169992636889,0.023360403943576896,True,0.0,0.00047429988626390696,0.0035918999928981066,0.0006500000599771738,0.029667200054973364,19968,0.0,0.0024933997774496675,8,8,0,0,0,0,0,1.0,False,5,0.7886166376508376
