strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.0228121375257615,0.032899460016051305,0.04604235001897905,0.05630233496776781,0.02818249014297335,0.182497100206092,0.3683388001518324,1.0,0.0001635000080568716,0.0005586501065408811,0.005422837406513281,2.2282598586309526,8.625,15.0,17.0,0.25,0.0,0.0,0.0,0.004391200025565922,0.02209948749805335,0.03744,0.046198079999999996,0.0,0.0,0.0
rltune_style_selector,0.029142250001314096,0.0363169550022576,0.05048022500704974,0.058999320049770175,0.02818249014297335,0.23313800001051277,0.4038418000563979,1.0,0.0032299625308951363,0.000687762483721599,0.003725512433447875,1.1248604910714286,9.0,10.75,0.25,0.0,-0.2774887915875515,-0.1038769324645127,-0.0963868044580991,0.004188875027466565,0.02112820000911597,0.026832,0.033108624,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.03253093746025115,0.0391632049169857,0.05659132497385144,0.061523534922162074,0.02818249014297335,0.2602474996820092,0.45273059979081154,1.0,0.0014311749982880428,0.0006030749791534618,0.0027516875707078725,1.0,8.0,8.0,0.0,0.0,-0.42603635558107245,-0.19039050786482156,-0.22911460754118793,0.004255974999978207,0.02384584999526851,0.019968,0.024638976000000003,0.0,0.0,0.0
guarded_system_portfolio,0.026147324970224872,0.03843713000533171,0.04782931246154476,0.05977419493137859,0.02818249014297335,0.20917859976179898,0.3826344996923581,1.0,0.002360575017519295,0.0008773124573053792,0.0030950500222388655,1.0,8.0,8.0,0.0,0.0,-0.14620232061537333,-0.16832099938961403,-0.03881127791759344,0.0045381750096566975,0.02146651252405718,0.019968,0.024638976000000003,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.027768775005824864,0.032626449974486604,0.05085610001697205,0.06658474002615548,0.02818249014297335,0.2221502000465989,0.4068488001357764,1.0,0.0016828874940983951,0.001127912400988862,0.01315446240187157,2.7175641741071432,10.0,19.75,12.25,0.5,-0.2172807118344735,0.008298313754435528,-0.10455048441290966,0.004567387513816357,0.022057487498386763,0.049296,0.06082747199999999,0.0,0.0,0.0
