strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.0198069499747362,0.03072156491689384,0.040357600009883754,0.057032714993692925,0.02371494896608883,0.1584555997978896,0.32286080007907003,1.0,0.00023663749743718654,0.000863487584865652,0.00881662494794,2.776204427083333,10.375,19.25,12.75,0.875,0.0,0.0,0.0,0.0005244624917395413,0.020056449982803315,0.048048,0.0,0.0,0.0,0.0
rltune_style_selector,0.025056687503820285,0.04579614002723245,0.04700858751311898,0.08333449498750267,0.02371494896608883,0.20045350003056228,0.37606870010495186,1.0,0.005063212476670742,0.0007754874823149294,0.005021075048716739,1.1748046875,9.375,12.625,2.375,0.0,-0.2650452258313439,-0.49068382913166897,-0.16480136335179427,0.0012454250099835917,0.02129921250161715,0.031512,0.0,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.03375262502231635,0.046298225043574344,0.06724650000978727,0.09601380000822246,0.02371494896608883,0.2700210001785308,0.5379720000782982,1.0,0.0030820500251138583,0.0008022250258363783,0.0033640625333646312,1.0,8.0,8.0,0.0,0.0,-0.704079884352103,-0.5070269098861847,-0.6662660810682078,0.0007079499773681164,0.033275549998506904,0.019968,0.0,0.0,0.0,0.0
guarded_system_portfolio,0.04760057499515824,0.07583717000088652,0.09329267502471339,0.15520360506488937,0.02371494896608883,0.3808045999612659,0.7463414001977071,1.0,0.002725949976593256,0.0007863125792937353,0.00364662500214763,1.0,8.0,8.0,0.0,0.0,-1.40322589070366,-1.4685321273846808,-1.3116507176310188,0.00124379999761004,0.045469900011084974,0.019968,0.0,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.02014196249365341,0.02778339004726149,0.04545192499062978,0.05748588001006283,0.02371494896608883,0.16113569994922727,0.3636153999250382,1.0,0.001957587490323931,0.0011258125596214086,0.018541024895966984,2.5102074032738093,9.5,21.875,10.125,0.875,-0.01691388726404214,0.09563884123678348,-0.12622963158112477,0.0009042500169016421,0.024773737517534755,0.0546,0.0,0.0,0.0,0.0
