strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.02700931250001304,0.04675449997885152,0.043583550010225736,0.06027501501957886,0.018544168693188957,0.2160745000001043,0.3486684000818059,1.0,0.00022046246158424765,0.0009019374847412109,0.005259350014966913,2.467587425595238,8.25,9.875,6.125,1.0,0.0,0.0,0.0,0.0007001624617259949,0.015730987492133863,0.024648,0.0,0.0,0.0,0.0
rltune_style_selector,0.02928254999278579,0.04429835004266351,0.05039136251434684,0.06916043506353162,0.018544168693188957,0.2342603999422863,0.4031309001147747,1.0,0.002767637502984144,0.0008211875392589718,0.0036620999890146777,1.6898949032738098,7.875,8.5,3.5,0.5,-0.08416495209834213,0.052532909929504074,-0.15620142238353296,0.0007002999918768182,0.020840762517764233,0.021216,0.0,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.036405324965016916,0.05564295495860278,0.05145092496240977,0.07469331996398977,0.018544168693188957,0.29124259972013533,0.4116073996992782,1.0,0.0012174250150565058,0.0007899124902905896,0.0027274375170236453,1.0,8.0,8.0,0.0,0.0,-0.3478804751138831,-0.1901090800622781,-0.18051248579654855,0.0006254875188460574,0.014912862461642362,0.019968,0.0,0.0,0.0,0.0
guarded_system_portfolio,0.023420987505232915,0.05537248499458654,0.041188712522853166,0.0739113650517538,0.018544168693188957,0.18736790004186332,0.3295097001828253,1.0,0.0011173624952789396,0.0005988374468870461,0.0041785124922171235,2.10791015625,7.75,9.5,5.5,0.875,0.13285510302338835,-0.18432418311891252,0.05494819689563342,0.00044206250458955765,0.016911450016777962,0.023712,0.0,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.017415137495845556,0.03079557499149814,0.03574775000743102,0.051781614968786006,0.018544168693188957,0.13932109996676445,0.2859820000594482,1.0,0.0006998875178396702,0.0005785999965155497,0.0037745999143226072,2.2033807663690474,7.5,9.0,7.0,1.0,0.35521729789171236,0.3413345238334724,0.1797880163721461,0.0004226875025779009,0.016953475031186827,0.022464,0.0,0.0,0.0,0.0
