strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.03742152497579809,0.08978567996527997,0.05642162497679237,0.10890759000321848,0.016322640956731117,0.29937219980638474,0.451372999814339,1.0,0.00014501248369924724,0.0008364250388694927,0.0047197749227052554,2.610072544642857,8.75,11.125,4.875,1.0,0.0,0.0,0.0,0.000564962494536303,0.017561800006660633,0.027768,0.0,0.0,0.0,0.0
rltune_style_selector,0.04156178749690298,0.07459898999659344,0.059783137461636215,0.09349540494731626,0.016322640956731117,0.33249429997522384,0.4782650996930897,1.0,0.0034003125183517113,0.001127200055634603,0.0027139250159962103,1.0,8.0,8.0,0.0,0.0,-0.11063853019839652,0.16914378745652106,-0.05957844153241806,0.0006338750245049596,0.018064800024149008,0.019968,0.0,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.04048046248499304,0.07175495998235419,0.05486038749222644,0.0935570250148885,0.016322640956731117,0.3238436998799443,0.4388830999378115,1.0,0.0011143875017296523,0.0008896500366972759,0.0025476624141447246,1.0,8.0,8.0,0.0,0.0,-0.08174272724516912,0.20081955151309477,0.027670906061427903,0.0005225750064710155,0.014244325007894076,0.019968,0.0,0.0,0.0,0.0
guarded_system_portfolio,0.03440378753293771,0.06537815008196049,0.050828525025281124,0.09208382004289888,0.016322640956731117,0.2752303002635017,0.406628200202249,1.0,0.0016539249918423593,0.000910937596927397,0.004840975030674599,2.23095703125,8.625,10.25,3.75,0.75,0.08064175484061818,0.27184212329580676,0.09913043011100497,0.0004532375169219449,0.015412549983011559,0.025584,0.0,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.03861031250562519,0.08944040999049319,0.05135159999190364,0.09991340500419027,0.016322640956731117,0.3088825000450015,0.4108127999352291,1.0,0.0007180374959716573,0.0006884499598527327,0.004318249906646088,2.788783482142857,9.25,10.5,5.5,1.0,-0.03176747956145371,0.0038454904492598793,0.08985960590419295,0.0004835750150959939,0.011154162508319132,0.026208,0.0,0.0,0.0,0.0
