strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.029569075006293133,0.03086109001887962,0.0550824625097448,0.06123409502324648,0.02861376817813136,0.23655260005034506,0.4406597000779584,1.0,0.0003161000058753416,0.000550262542674318,0.015990674874046817,2.422177269345238,9.125,33.75,14.25,0.625,0.0,0.0,0.0,0.0008396125049330294,0.02459581251605414,0.08424,0.0,0.0,0.0,0.0
rltune_style_selector,0.026100999995833263,0.03121308000409044,0.055715712485834956,0.06021806997596286,0.02861376817813136,0.2088079999666661,0.44572569988667965,1.0,0.0034411625092616305,0.0005076625384390354,0.004060325023601763,1.2314220610119047,9.875,13.75,0.25,0.0,0.11728723369675129,-0.01140562387768824,-0.011496399166579116,0.0008974500233307481,0.029380449981545098,0.03432,0.0,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.02527362501132302,0.030830814997898415,0.051404462530626915,0.060211675002938135,0.02861376817813136,0.20218900009058416,0.4112357002450153,1.0,0.0016912375285755843,0.0005348499689716846,0.002174287466914393,1.0,8.0,8.0,0.0,0.0,0.145268324898764,0.0009810094511465738,0.06677261348777207,0.0008447125146631151,0.025946187539375387,0.019968,0.0,0.0,0.0,0.0
guarded_system_portfolio,0.025808312493609264,0.03175709494389593,0.054469762471853755,0.06146822999580763,0.02861376817813136,0.20646649994887412,0.43575809977483004,1.0,0.0014809249842073768,0.0005091624771011993,0.002320475017768331,1.0,8.0,8.0,0.0,0.0,0.12718566650743968,-0.029033482759946952,0.011123323286112175,0.0008015750063350424,0.0284678875177633,0.019968,0.0,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.03249982499983162,0.04368149500223808,0.06779176251438912,0.08911001504748127,0.02861376817813136,0.25999859999865294,0.542334100115113,1.0,0.0014556874666595832,0.0006500125164166093,0.020939862428349443,2.375697544642857,8.875,35.125,12.875,0.625,-0.09911537621365354,-0.4154229476507612,-0.23073224081795327,0.0008958374965004623,0.03372567502083257,0.087672,0.0,0.0,0.0,0.0
