iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.03192229999694973,0.05925179994665086,0.03192229999694973,0.05925179994665086,0.029084093672630443,True,1.3506446028928519e-15,0.0006502002943307161,0.0006827000761404634,0.0040550000267103314,0.02715960005298257,27456,0.033878592000000006,0.005278799799270928,9,11,5,2,0,0,0,2.6235119047619047,True,2,0.9234326448909433
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.02305700001306832,0.04913870000746101,0.05497930001001805,0.10839049995411187,0.02901622321772417,True,1.5207421468546837e-15,0.00048459984827786684,4.730001091957092e-05,0.0037556999595835805,0.022716199979186058,29952,0.036958464,0.004662200226448476,9,12,4,3,0,0,0,2.6156994047619047,True,2,0.9496756126342002
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.022833400056697428,0.029027100070379674,0.07781270006671548,0.13741760002449155,0.028948581173902223,True,5.887846720064156e-16,0.0007778001017868519,4.630000330507755e-05,0.0041319000301882625,0.004837700049392879,29952,0.036958464,0.004039800027385354,9,12,4,3,0,0,0,2.490141369047619,True,2,0.9263980856792113
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.020944199990481138,0.04449750005733222,0.09875690005719662,0.18191510008182377,0.028881166711033662,True,1.8857457541557905e-15,0.0008272998966276646,2.780009526759386e-05,0.0038259999128058553,0.023417899967171252,29952,0.036958464,0.004299099906347692,9,12,4,3,0,0,0,2.4973958333333335,True,2,0.9460081011645363
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.03427039994858205,0.038000599946826696,0.13302730000577867,0.21991570002865046,0.028813979002185474,True,6.10622663543836e-16,0.0009352001361548901,4.3899985030293465e-05,0.0038327000802382827,0.003433200065046549,19968,0.024638976000000003,0.0029700000304728746,8,8,8,0,0,0,0,2.514322916666667,True,4,0.7258119130786941
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.03743449994362891,0.053462799987755716,0.17046179994940758,0.2733785000164062,0.028747017223609686,True,1.1164505631721536e-15,0.0006162999197840691,2.589996438473463e-05,0.004029599949717522,0.014835100038908422,19968,0.024638976000000003,0.002650699927471578,8,8,8,0,0,0,0,2.5052083333333335,True,4,0.6819633806576462
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.063492999994196,0.07007149991113693,0.23395479994360358,0.3434499999275431,0.02868028055473047,True,1.4261072965499197e-15,0.0012018998386338353,2.7799978852272034e-05,0.003946000011637807,0.0041504999389871955,27456,0.033878592000000006,0.004777899943292141,11,11,5,0,0,0,0,3.2505580357142856,True,4,0.5833461341677204
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.05338649998884648,0.05772600008640438,0.28734129993245006,0.4011760000139475,0.02861376817813136,True,5.324442579404919e-16,0.0008300998015329242,2.459995448589325e-05,0.004294099984690547,0.00403129996266216,24960,0.030798720000000005,0.003475499921478331,9,10,6,1,0,0,0,2.7317708333333335,True,4,0.7655475395908918
0,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0079:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.01845950004644692,0.03779149998445064,0.01845950004644692,0.03779149998445064,0.029084093672630443,True,0.0,0.0007274000672623515,0.0023108000168576837,0.0038743000477552414,0.019239100045524538,19968,0.024638976000000003,0.001712299883365631,8,8,0,0,0,0,0,1.0,False,2,0.9234326448909433
1,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0185:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.02164020005147904,0.04583369998726994,0.04009970009792596,0.08362519997172058,0.02901622321772417,True,0.0,0.0006626000395044684,0.0017567999893799424,0.00392920000012964,0.02410259994212538,19968,0.024638976000000003,0.002108299871906638,8,8,0,0,0,0,0,0.9999999999999999,False,2,0.9496756126342002
2,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0279:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.022374200052581728,0.04373590007890016,0.06247390015050769,0.12736110005062073,0.028948581173902223,True,0.0,0.0008118001278489828,0.0021442000288516283,0.003910199971869588,0.021229700068943202,19968,0.024638976000000003,0.0019722997676581144,8,8,0,0,0,0,0,1.0,False,2,0.9263980856792113
3,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0321:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.04004869994241744,0.04389069997705519,0.10252260009292513,0.17125180002767593,0.028881166711033662,True,0.0,0.0003967998782172799,0.0024916999973356724,0.00378989998716861,0.003736299928277731,19968,0.024638976000000003,0.0015218999469652772,8,8,0,0,0,0,0,1.0,False,2,0.9460081011645363
4,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0465:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.052945900009945035,0.07384329999331385,0.15546850010287017,0.24509510002098978,0.028813979002185474,True,0.0,0.0008342000655829906,0.0024188999086618423,0.003940100083127618,0.020787299959920347,19968,0.024638976000000003,0.0017805001698434353,8,8,0,0,0,0,0,0.9999999999999999,False,4,0.7258119130786941
5,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0473:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.0383424999890849,0.04254180006682873,0.19381100009195507,0.2876369000878185,0.028747017223609686,True,0.0,0.0006145001389086246,0.0017932000337168574,0.003821199992671609,0.004097800003364682,19968,0.024638976000000003,0.0027680997736752033,8,8,0,0,0,0,0,1.0,False,4,0.6819633806576462
6,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0467:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.042697399971075356,0.06160169991198927,0.23650840006303042,0.3492385999998078,0.028680280554730472,True,0.0,0.000589500181376934,0.0018120999448001385,0.003858500043861568,0.018802699982188642,19968,0.024638976000000003,0.002442300086840987,8,8,0,0,0,0,0,1.0,False,4,0.5833461341677204
