policy,mean_predicted_ms,p95_predicted_ms,mean_prefix_rows,mean_prefix_delta_vs_static,mean_gain_vs_static_pct,p95_gain_vs_static_pct
oracle-minset,19.279632920710114,52.57756465475779,8.266666666666667,-1.2166666666666666,38.91704078902568,55.067661181251935
cost-only,25.392524471246404,60.780081615474934,9.133333333333333,-0.35,19.54978899651775,48.05786006806708
sampled-minset-128,27.63274318912822,54.52936992204352,8.666666666666666,-0.8166666666666667,12.452185575809258,53.399665028258504
sampled-minset-512,28.280048821193827,65.01188887638266,9.5,0.016666666666666666,10.401350703428243,44.441393635829286
static,31.563030294783566,117.01497415224634,9.483333333333333,0.0,0.0,0.0
rho/C,32.772281490747126,85.61568709174666,9.483333333333333,0.0,-3.831226547862274,26.833563215291196
rho*C,32.772281490747126,85.61568709174666,9.483333333333333,0.0,-3.831226547862274,26.833563215291196
rho,32.772281490747126,85.61568709174666,9.483333333333333,0.0,-3.831226547862274,26.833563215291196
random,38.22042663159922,141.23140120304012,9.933333333333334,0.45,-21.092386487098235,-20.69515224546063
