policy,samples,mean_build_ms,p95_build_ms,max_build_ms
rho-family,0,0.10107997804880142,0.11307995300740004,0.11429993901401758
sampled-minset-128,128,68.05492001585662,74.10612001549453,74.99600003939122
sampled-minset-512,512,279.02237998787314,312.9146800143644,315.5884000007063
oracle-minset,0,1490.288979979232,1527.9052400495857,1529.164700070396
