seed,rho_oracle_corr,rho_cost_oracle_corr,pair_cost_oracle_corr,sampled_minset_128_oracle_corr,sampled_minset_512_oracle_corr
17,-0.6398115136645295,-0.6412532440425222,0.14277027119624244,0.3556689071846657,0.8562387349533813
23,-0.07853234447873385,-0.06625949869011971,0.52152298582981,0.5583932749524294,0.34925427322107794
31,-0.03948056609435885,-0.054620308695985095,-0.49143487360191007,0.2721337609770686,0.27088753228323287
43,0.3009749526921779,0.311445981588108,0.2782657401071171,0.8763862938734451,0.9733518899901081
59,0.44027693095313974,0.44795841019854193,0.12946361178789542,0.4953703491746849,0.6428864393818352
