seed,round,policy,predicted_ms,prefix_rows,gain_vs_static_pct,prefix_delta_vs_static
17,0,static,9.826706781818265,9,0.0,0
17,0,random,7.677554464877624,8,21.870524527271765,-1
17,0,cost-only,9.73595973842535,9,0.9234736052246738,0
17,0,rho,7.27644602705105,8,25.952344069997096,-1
17,0,rho*C,7.27644602705105,8,25.952344069997096,-1
17,0,rho/C,7.27644602705105,8,25.952344069997096,-1
17,0,sampled-minset-128,7.677554464877624,8,21.870524527271765,-1
17,0,sampled-minset-512,7.649307391791244,8,22.15797660774539,-1
17,0,oracle-minset,7.677554464877624,8,21.870524527271765,-1
17,1,static,6.259919145553945,8,0.0,0
17,1,random,6.65430406078759,9,-6.3001598912623935,1
17,1,cost-only,6.248885210514778,8,0.17626321974148954,0
17,1,rho,9.554867335823294,10,-52.63563496039016,2
17,1,rho*C,9.554867335823294,10,-52.63563496039016,2
17,1,rho/C,9.554867335823294,10,-52.63563496039016,2
17,1,sampled-minset-128,6.171647665240609,8,1.4101057579318608,0
17,1,sampled-minset-512,6.076020228234499,8,2.937720329024678,0
17,1,oracle-minset,6.248885210514778,8,0.17626321974148954,0
17,2,static,7.39508373401384,8,0.0,0
17,2,random,8.11525144095052,9,-9.738465889497016,1
17,2,cost-only,7.27644602705105,8,1.604278074866313,0
17,2,rho,12.021108073248573,10,-62.55540174558456,2
17,2,rho*C,12.021108073248573,10,-62.55540174558456,2
17,2,rho/C,12.021108073248573,10,-62.55540174558456,2
17,2,sampled-minset-128,7.626709733322141,8,-3.132161955691354,0
17,2,sampled-minset-512,7.677554464877624,8,-3.8197097020626614,0
17,2,oracle-minset,7.39508373401384,8,0.0,0
17,3,static,9.826706781818265,10,0.0,0
17,3,random,8.266615231341262,9,15.876036449602248,-1
17,3,cost-only,7.83082924847413,8,20.310746801125504,-2
17,3,rho,7.6912758321885715,8,21.730891101592114,-2
17,3,rho*C,7.6912758321885715,8,21.730891101592114,-2
17,3,rho/C,7.6912758321885715,8,21.730891101592114,-2
17,3,sampled-minset-128,8.11525144095052,8,17.416367241509064,-2
17,3,sampled-minset-512,7.417681392482942,7,24.51508366762903,-3
17,3,oracle-minset,7.938494020711891,8,19.215112478984466,-2
17,4,static,14.384014635377019,8,0.0,0
17,4,random,14.619104462952793,8,-1.6343825665859553,0
17,4,cost-only,14.619104462952793,8,-1.6343825665859553,0
17,4,rho,14.384014635377019,8,0.0,0
17,4,rho*C,14.384014635377019,8,0.0,0
17,4,rho/C,14.384014635377019,8,0.0,0
17,4,sampled-minset-128,14.384014635377019,8,0.0,0
17,4,sampled-minset-512,14.754063438042587,8,-2.572639225181584,0
17,4,oracle-minset,14.5407411870942,8,-1.089588377723962,0
17,5,static,14.384014635377019,8,0.0,0
17,5,random,45.683562487664965,9,-217.59952729266362,1
17,5,cost-only,14.619104462952793,8,-1.6343825665859553,0
17,5,rho,14.384014635377019,8,0.0,0
17,5,rho*C,14.384014635377019,8,0.0,0
17,5,rho/C,14.384014635377019,8,0.0,0
17,5,sampled-minset-128,14.384014635377019,8,0.0,0
17,5,sampled-minset-512,14.754063438042587,8,-2.572639225181584,0
17,5,oracle-minset,14.5407411870942,8,-1.089588377723962,0
17,6,static,11.625253335146903,8,0.0,0
17,6,random,11.625253335146903,8,0.0,0
17,6,cost-only,11.625253335146903,8,0.0,0
17,6,rho,11.43830762934049,8,1.6081000595592618,0
17,6,rho*C,11.43830762934049,8,1.6081000595592618,0
17,6,rho/C,11.43830762934049,8,1.6081000595592618,0
17,6,sampled-minset-128,11.43830762934049,8,1.6081000595592618,0
17,6,sampled-minset-512,11.732574018109842,8,-0.9231685527099337,0
17,6,oracle-minset,11.562938099878101,8,0.5360333531864107,0
17,7,static,14.384014635377019,8,0.0,0
17,7,random,45.65687598382142,9,-217.4139983946471,1
17,7,cost-only,14.619104462952793,8,-1.6343825665859553,0
17,7,rho,14.384014635377019,8,0.0,0
17,7,rho*C,14.384014635377019,8,0.0,0
17,7,rho/C,14.384014635377019,8,0.0,0
17,7,sampled-minset-128,14.384014635377019,8,0.0,0
17,7,sampled-minset-512,14.754063438042587,8,-2.572639225181584,0
17,7,oracle-minset,14.5407411870942,8,-1.089588377723962,0
17,8,static,38.62556625942406,10,0.0,0
17,8,random,17.557847342279754,8,54.54345646519576,-2
17,8,cost-only,17.652470471669286,8,54.29848108087645,-2
17,8,rho,17.368601083500693,8,55.03340723383437,-2
17,8,rho*C,17.368601083500693,8,55.03340723383437,-2
17,8,rho/C,17.368601083500693,8,55.03340723383437,-2
17,8,sampled-minset-128,17.368601083500693,8,55.03340723383437,-2
17,8,sampled-minset-512,17.815432527840144,8,53.876579030104324,-2
17,8,oracle-minset,17.557847342279754,8,54.54345646519576,-2
17,9,static,17.894285135664756,8,0.0,0
17,9,random,17.894285135664756,8,0.0,0
17,9,cost-only,17.652470471669286,8,1.351351351351351,0
17,9,rho,17.368601083500693,8,2.9377203290246694,0
17,9,rho*C,17.368601083500693,8,2.9377203290246694,0
17,9,rho/C,17.368601083500693,8,2.9377203290246694,0
17,9,sampled-minset-128,17.368601083500693,8,2.9377203290246694,0
17,9,sampled-minset-512,17.815432527840144,8,0.44065804935370817,0
17,9,oracle-minset,17.557847342279754,8,1.880141010575797,0
17,10,static,17.894285135664756,8,0.0,0
17,10,random,17.862744092534914,8,0.17626321974147552,0
17,10,cost-only,17.652470471669286,8,1.351351351351351,0
17,10,rho,17.368601083500693,8,2.9377203290246694,0
17,10,rho*C,17.368601083500693,8,2.9377203290246694,0
17,10,rho/C,17.368601083500693,8,2.9377203290246694,0
17,10,sampled-minset-128,17.368601083500693,8,2.9377203290246694,0
17,10,sampled-minset-512,17.815432527840144,8,0.44065804935370817,0
17,10,oracle-minset,17.557847342279754,8,1.880141010575797,0
17,11,static,35.661942922327995,9,0.0,0
17,11,random,12.176823469174298,6,65.85485121857909,-3
17,11,cost-only,14.512029292575662,8,59.306677922223756,-1
17,11,rho,14.278661340878493,8,59.961067258793115,-1
17,11,rho*C,14.278661340878493,8,59.961067258793115,-1
17,11,rho/C,14.278661340878493,8,59.961067258793115,-1
17,11,sampled-minset-128,14.278661340878493,8,59.961067258793115,-1
17,11,sampled-minset-512,14.645999783364772,8,58.93100996974876,-1
17,11,oracle-minset,14.434239975343273,8,59.5248077010802,-1
23,0,static,8.096138542531802,8,0.0,0
23,0,random,10.403592281905782,10,-28.500670131225288,2
23,0,cost-only,9.246733097798435,9,-14.211646073275098,1
23,0,rho,7.888792528637299,8,2.561048243001803,0
23,0,rho*C,7.888792528637299,8,2.561048243001803,0
23,0,rho/C,7.888792528637299,8,2.561048243001803,0
23,0,sampled-minset-128,9.252240383741137,9,-14.27966968618355,1
23,0,sampled-minset-512,9.009919802262203,9,-11.286630718212066,1
23,0,oracle-minset,9.246733097798435,9,-14.211646073275098,1
23,1,static,8.096138542531802,9,0.0,0
23,1,random,17.366317083052568,14,-114.5012340367118,5
23,1,cost-only,8.096138542531802,9,0.0,0
23,1,rho,7.337502356629431,8,9.370345899060322,-1
23,1,rho*C,7.337502356629431,8,9.370345899060322,-1
23,1,rho/C,7.337502356629431,8,9.370345899060322,-1
23,1,sampled-minset-128,8.100960542854928,9,-0.05955926146514326,0
23,1,sampled-minset-512,7.888792528637299,9,2.561048243001803,0
23,1,oracle-minset,8.096138542531802,9,0.0,0
23,2,static,8.096138542531802,8,0.0,0
23,2,random,9.246733097798435,9,-14.211646073275098,1
23,2,cost-only,9.246733097798435,9,-14.211646073275098,1
23,2,rho,7.888792528637299,8,2.561048243001803,0
23,2,rho*C,7.888792528637299,8,2.561048243001803,0
23,2,rho/C,7.888792528637299,8,2.561048243001803,0
23,2,sampled-minset-128,9.252240383741137,9,-14.27966968618355,1
23,2,sampled-minset-512,9.009919802262203,9,-11.286630718212066,1
23,2,oracle-minset,9.246733097798435,9,-14.211646073275098,1
23,3,static,16.921557324522926,14,0.0,0
23,3,random,11.89570000357985,10,29.700914783177446,-4
23,3,cost-only,10.713552937354647,9,36.68695657326743,-5
23,3,rho,7.337502356629431,8,56.63813787401333,-6
23,3,rho*C,7.337502356629431,8,56.63813787401333,-6
23,3,rho/C,7.337502356629431,8,56.63813787401333,-6
23,3,sampled-minset-128,10.71993385036081,9,36.64924779219137,-5
23,3,sampled-minset-512,10.439173678089455,9,38.30843415953874,-5
23,3,oracle-minset,10.713552937354647,9,36.68695657326743,-5
23,4,static,31.700123840973717,9,0.0,0
23,4,random,36.628828943385074,10,-15.547904882443397,1
23,4,cost-only,36.30748911373412,10,-14.53421852821028,1
23,4,rho,38.12841481508953,10,-20.27844120219802,1
23,4,rho*C,38.12841481508953,10,-20.27844120219802,1
23,4,rho/C,38.12841481508953,10,-20.27844120219802,1
23,4,sampled-minset-128,31.700123840973717,9,0.0,0
23,4,sampled-minset-512,12.250087516043983,8,61.35634176857618,-1
23,4,oracle-minset,31.700123840973717,9,0.0,0
23,5,static,133.4086978038278,13,0.0,0
23,5,random,134.24870399310583,13,-0.6296487433774653,0
23,5,cost-only,60.44410610518248,10,54.692529722415,-3
23,5,rho,63.45637035401294,10,52.434607788974134,-3
23,5,rho*C,63.45637035401294,10,52.434607788974134,-3
23,5,rho/C,63.45637035401294,10,52.434607788974134,-3
23,5,sampled-minset-128,52.08060478857384,9,60.96161221425285,-4
23,5,sampled-minset-512,14.104849547968298,8,89.42733886158688,-5
23,5,oracle-minset,52.08060478857384,9,60.96161221425285,-4
23,6,static,12.450179689627278,8,0.0,0
23,6,random,156.35711725707307,14,-1155.8623341584394,6
23,6,cost-only,61.21242322703552,10,-391.6589539509534,2
23,6,rho,64.22468747586599,10,-415.853498318374,2
23,6,rho*C,64.22468747586599,10,-415.853498318374,2
23,6,rho/C,64.22468747586599,10,-415.853498318374,2
23,6,sampled-minset-128,50.08641205772464,9,-302.294692175837,1
23,6,sampled-minset-512,12.250087516043983,8,1.6071428571428468,0
23,6,oracle-minset,50.08641205772464,9,-302.294692175837,1
23,7,static,124.70820245919995,14,0.0,0
23,7,random,32.84884556794188,9,73.65943464810277,-5
23,7,cost-only,48.40810821304324,10,61.182899553956254,-4
23,7,rho,50.81503086564694,10,59.25285597611609,-4
23,7,rho*C,50.81503086564694,10,59.25285597611609,-4
23,7,rho/C,50.81503086564694,10,59.25285597611609,-4
23,7,sampled-minset-128,32.84884556794188,9,73.65943464810277,-5
23,7,sampled-minset-512,20.758313596299093,8,83.35449217697571,-6
23,7,oracle-minset,32.84884556794188,9,73.65943464810277,-5
23,8,static,12.276919745866175,7,0.0,0
23,8,random,136.02049555577452,13,-1007.9366679217293,6
23,8,cost-only,60.81446193932188,10,-395.35602739277516,3
23,8,rho,63.77308568664904,10,-419.4550995425575,3
23,8,rho*C,63.77308568664904,10,-419.4550995425575,3
23,8,rho/C,63.77308568664904,10,-419.4550995425575,3
23,8,sampled-minset-128,52.76993991298088,9,-329.8304542615367,2
23,8,sampled-minset-512,12.60167939704451,8,-2.6452860970088676,1
23,8,oracle-minset,52.76993991298088,9,-329.8304542615367,2
23,9,static,60.26311589459158,10,0.0,0
23,9,random,140.91896123978384,13,-133.83948730143717,3
23,9,cost-only,58.479239811644334,10,2.960145781488453,0
23,9,rho,61.43786355897148,10,-1.9493642951265517,0
23,9,rho*C,61.43786355897148,10,-1.9493642951265517,0
23,9,rho/C,61.43786355897148,10,-1.9493642951265517,0
23,9,sampled-minset-128,54.74166963650284,9,9.162231617340366,-1
23,9,sampled-minset-512,16.55019354488673,8,72.53677759736938,-2
23,9,oracle-minset,54.74166963650284,9,9.162231617340366,-1
23,10,static,65.57682474409879,11,0.0,0
23,10,random,16.55019354488673,8,74.76213035707242,-3
23,10,cost-only,60.778272124746145,10,7.317451917011979,-1
23,10,rho,63.736895872073305,10,2.8057608449409686,-1
23,10,rho*C,63.736895872073305,10,2.8057608449409686,-1
23,10,rho/C,63.736895872073305,10,2.8057608449409686,-1
23,10,sampled-minset-128,54.52034326502712,9,16.860348945252383,-2
23,10,sampled-minset-512,16.55019354488673,8,74.76213035707242,-3
23,10,oracle-minset,54.52034326502712,9,16.860348945252383,-2
23,11,static,59.69331518873,10,0.0,0
23,11,random,58.866640906388604,10,1.3848691092591126,0
23,11,cost-only,57.90943910578275,10,2.9884017620854855,0
23,11,rho,60.868062853109905,10,-1.9679718921050853,0
23,11,rho*C,60.868062853109905,10,-1.9679718921050853,0
23,11,rho/C,60.868062853109905,10,-1.9679718921050853,0
23,11,sampled-minset-128,52.567439641167105,9,11.937476625369683,-1
23,11,sampled-minset-512,16.55019354488673,8,72.27462825182243,-2
23,11,oracle-minset,52.567439641167105,9,11.937476625369683,-1
31,0,static,10.054693230717296,11,0.0,0
31,0,random,9.06146694873614,10,9.878235558165317,-1
31,0,cost-only,8.20928060371328,9,18.353743716081183,-2
31,0,rho,10.156528074281306,11,-1.0128090557044849,0
31,0,rho*C,10.156528074281306,11,-1.0128090557044849,0
31,0,rho/C,10.156528074281306,11,-1.0128090557044849,0
31,0,sampled-minset-128,7.888703963270446,8,21.542072122396608,-3
31,0,sampled-minset-512,9.982809811730933,11,0.7149240393208383,0
31,0,oracle-minset,8.20928060371328,9,18.353743716081183,-2
31,1,static,9.754085034137486,10,0.0,0
31,1,random,11.43293714758506,13,-17.211784678643905,3
31,1,cost-only,9.06146694873614,9,7.100800156829798,-1
31,1,rho,10.156528074281306,11,-4.125892267038326,1
31,1,rho*C,10.156528074281306,11,-4.125892267038326,1
31,1,rho/C,10.156528074281306,11,-4.125892267038326,1
31,1,sampled-minset-128,8.172967065212633,8,16.209803004497424,-2
31,1,sampled-minset-512,9.982809811730933,11,-2.3449126883039604,1
31,1,oracle-minset,9.06146694873614,9,7.100800156829798,-1
31,2,static,10.054693230717296,11,0.0,0
31,2,random,10.11160093741483,11,-0.5659815311289632,0
31,2,cost-only,8.20928060371328,9,18.353743716081183,-2
31,2,rho,10.156528074281306,11,-1.0128090557044849,0
31,2,rho*C,10.156528074281306,11,-1.0128090557044849,0
31,2,rho/C,10.156528074281306,11,-1.0128090557044849,0
31,2,sampled-minset-128,7.888703963270446,8,21.542072122396608,-3
