iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.021998099982738495,0.03529220004566014,0.021998099982738495,0.03529220004566014,0.03206842189843774,True,8.1773032027145e-16,0.001041000010445714,0.001974600018002093,0.0045547999907284975,0.01182040001731366,44928,0.05543769599999999,0.010332700097933412,9,18,14,9,0,0,0,2.255766369047619,False,4,0.8901121810394608
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.028109800070524216,0.05861359997652471,0.05010790005326271,0.09390580002218485,0.03199184596125305,True,3.3232593448441795e-15,0.0009362001437693834,4.710000939667225e-05,0.00528479996137321,0.0300203999504447,69888,0.08623641599999997,0.017493099672719836,11,28,4,17,0,0,0,2.7516741071428568,False,4,0.8470634181381486
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.021194999921135604,0.040701699908822775,0.07130289997439831,0.13460749993100762,0.03191554122634348,True,1.594436429147036e-15,0.0009953002445399761,6.789993494749069e-05,0.004298800020478666,0.01911290001589805,52416,0.06467731199999999,0.012030999641865492,9,21,11,12,0,0,0,2.2421875,False,4,0.9152870901295324
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.029255099943839014,0.06372370000462979,0.10055799991823733,0.19833119993563741,0.03183950661426632,True,4.041272810440265e-16,0.0018950001103803515,5.5600074119865894e-05,0.003989299992099404,0.03404860000591725,67392,0.08315654399999997,0.018967500189319253,12,27,5,15,0,0,0,3.2377232142857144,True,4,0.8956145875284696
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.02513840002939105,0.04695480002555996,0.12569639994762838,0.24528599996119738,0.03176374105032984,True,1.0030482555430182e-15,0.0009118999587371945,5.9200101532042027e-05,0.004364299937151372,0.020161099964752793,37440,0.046198079999999996,0.009004700230434537,8,15,17,7,0,0,0,2.116071428571429,True,7,0.5887112154318358
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.020086699980311096,0.03610999998636544,0.14578309992793947,0.2813959999475628,0.03168824346457058,True,6.626552854390357e-16,0.0009133002022281289,5.570007488131523e-05,0.004203799995593727,0.01337310008239001,37440,0.046198079999999996,0.008180999895557761,9,15,17,6,0,0,0,2.239955357142857,False,7,0.6466312326997606
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.019898699945770204,0.05274049995932728,0.16568179987370968,0.3341364999068901,0.031613012791730656,True,5.93995257398358e-16,0.0008629999356344342,4.9600028432905674e-05,0.004165700054727495,0.032519000000320375,39936,0.04927795199999999,0.007177800172939897,9,16,16,7,0,0,0,2.232328869047619,False,7,0.6799369110020407
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.03037299995776266,0.04946139990352094,0.19605479983147234,0.38359789981041104,0.03153804797123522,True,1.6754806734005721e-15,0.0007275000680238008,4.4599990360438824e-05,0.004130399902351201,0.01811429997906089,32448,0.040038336,0.005900199990719557,8,13,19,5,0,0,0,2.3671875,True,7,0.5957578457073076
0,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0035:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.02633440005593002,0.05271800002083182,0.02633440005593002,0.05271800002083182,0.03206842189843774,True,1.6184142622847341e-16,0.0005768998526036739,0.004888299969024956,0.00404619995970279,0.026191100012511015,32448,0.040038336,0.003874699934385717,11,13,3,2,0,0,0,1.36328125,False,4,0.8901121810394608
1,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0127:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.023811499937437475,0.042231999919749796,0.05014589999336749,0.09494999994058162,0.03199184596125305,True,0.0,0.0007322998717427254,0.004232499981299043,0.005741799948737025,0.018230500048957765,19968,0.024638976000000003,0.002503999974578619,8,8,0,0,0,0,0,1.0,False,4,0.8470634181381486
2,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0295:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.018000500043854117,0.040473700035363436,0.06814640003722161,0.13542369997594506,0.03191554122634348,True,3.554447978966673e-16,0.0010632999474182725,0.005823899991810322,0.0042403999250382185,0.022218900034204125,34944,0.043118208,0.00432329997420311,9,14,2,5,0,0,0,1.1235119047619047,False,4,0.9152870901295324
3,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0320:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.031235900009050965,0.058448499999940395,0.09938230004627258,0.19387219997588545,0.03183950661426632,True,2.2548736224414665e-16,0.0008475000504404306,0.004053900018334389,0.004852999933063984,0.026970300008542836,37440,0.046198079999999996,0.004684800049290061,12,15,1,3,0,0,0,1.4884672619047619,False,4,0.8956145875284696
4,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0321:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.02947780000977218,0.05644459999166429,0.12886010005604476,0.25031679996754974,0.03176374105032984,True,0.0,0.0003477002028375864,0.0042981000151485205,0.004082900006324053,0.02682740008458495,19968,0.024638976000000003,0.0021745000267401338,8,8,0,0,0,0,0,1.0,False,7,0.5887112154318358
5,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0353:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.015731999999843538,0.04305619990918785,0.1445921000558883,0.2933729998767376,0.03168824346457058,True,0.0,0.0009266001870855689,0.003623700002208352,0.004377900040708482,0.027135199983604252,19968,0.024638976000000003,0.002511399914510548,8,8,0,0,0,0,0,1.0,False,7,0.6466312326997606
6,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0363:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.016891999985091388,0.026971899904310703,0.16148410004097968,0.3203448997810483,0.031613012791730656,True,0.0,0.0010195999639108777,0.004227400058880448,0.004537999979220331,0.009912800043821335,19968,0.024638976000000003,0.002809600206092,8,8,0,0,0,0,0,1.0,False,7,0.6799369110020407
7,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0326:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.034686499973759055,0.044300799956545234,0.19617060001473874,0.36464569973759353,0.03153804797123522,True,0.0,0.0010330999502912164,0.00419450004119426,0.004429799970239401,0.009450600016862154,19968,0.024638976000000003,0.00286979996599257,8,8,0,0,0,0,0,1.0,False,7,0.5957578457073076
0,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0023,synthetic,phase,none,0.014,16,8,1600,240,0.01733060006517917,0.0405653000343591,0.01733060006517917,0.0405653000343591,0.03206842189843774,True,0.0,0.0009154999861493707,0.0020270999521017075,0.005057499976828694,0.023061299929395318,19968,0.024638976000000003,0.0025826001074165106,8,8,0,0,0,0,0,1.0,False,4,0.8901121810394608
