strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.027874637467903085,0.0332093850011006,0.05135252498439513,0.06198094002320431,0.022702486958980573,0.22299709974322468,0.41082019987516105,1.0,0.000263462497969158,0.0006690623558824882,0.009016075026011094,2.5458984375,9.625,18.75,13.25,0.75,0.0,0.0,0.0,0.0042855624633375555,0.022429362521506846,0.0468,0.05774759999999999,0.0,0.0,0.0
rltune_style_selector,0.02708606248779688,0.035253314999863505,0.04969697498017922,0.05830687495763413,0.022702486958980573,0.21668849990237504,0.39757579984143376,1.0,0.004008849980891682,0.0008508250321028754,0.003851862478768453,1.1562965029761905,9.25,10.625,0.375,0.0,0.028290053315105108,-0.061546758505018,0.03223892115760608,0.0044481375080067664,0.022387274977518246,0.02652,0.03272364,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.030713125015608966,0.04250019994797184,0.053551637480268255,0.07412526992848142,0.022702486958980573,0.24570500012487173,0.42841309984214604,1.0,0.0022483374923467636,0.0008547125471523032,0.0033294375316472724,1.0,8.0,8.0,0.0,0.0,-0.10183047406353986,-0.279764739592839,-0.042823843550855265,0.004753112501930445,0.022599062518565916,0.019968,0.024638976000000003,0.0,0.0,0.0
guarded_system_portfolio,0.0356708999897819,0.05302011990570463,0.06693911248294171,0.1030683449411299,0.022702486958980573,0.2853671999182552,0.5355128998635337,1.0,0.0029957625083625317,0.0008346250688191503,0.003192925112671219,1.0,8.0,8.0,0.0,0.0,-0.27969018541877033,-0.5965402522192891,-0.30352134589843416,0.0046904124901629984,0.031052875012392178,0.019968,0.024638976000000003,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.03988835000200197,0.050680899957660584,0.08019087501452304,0.10652649505063891,0.022702486958980573,0.31910680001601577,0.6415270001161844,1.0,0.001937599983648397,0.0008898499509086832,0.015028349953354336,2.5000697544642856,8.75,23.5,8.5,1.0,-0.430990808326471,-0.526101731663533,-0.5615760868407392,0.006794049986638129,0.03958333750779275,0.058656,0.07237699199999997,0.0,0.0,0.0
