strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows,workers,seed,strategy_label,pod_node_counts,mean_decode_gain_vs_static_pct,p95_decode_gain_vs_static_pct,mean_barrier_gain_vs_static_pct,p95_barrier_gain_vs_static_pct,mean_decode_gain_vs_speed_pct,mean_barrier_gain_vs_speed_pct,case,static_barrier_latency,barrier_gain_vs_static_pct
speed_aware_uncoded,0.0083900811667566,0.0089979360000143,0.0128184004999335,0.013488253999867,0.0287470172236096,0.0503404870005397,0.0769104029996015,1.0,6.065800016585854e-05,0.0003311481661209,0.0019337653325237,1.0,8.0,8.0,0.0,0.0,-0.0223313470425776,0.1895984883605551,0.198946070193452,0.0010576921666446,0.004358683333218,0.019968,0.0,1.0,0.3333333333333333,0.3333333333333333,24,31,Speed-aware uncoded,9s:24,-2.233134704257991,18.95984883605549,19.89460701934536,30.017794203330258,0.0,0.0,close_connection,0.0160019195000131,19.89460701934536
sparse_flexible_static,0.0082068119998742,0.0111030592499901,0.0160019195000131,0.0192738337500486,0.0287470172236096,0.0492408719992454,0.096011517000079,1.0,0.0002082458331642,0.0003850588342781,0.0055275305003306,2.384114583333333,9.166666666666666,20.5,27.5,0.3333333333333333,0.0,0.0,0.0,0.000612774833371,0.005733986333477,0.051168,0.0,1.0,1.0,2.0,24,31,Static sparse-flex,9s:24,0.0,0.0,0.0,0.0,2.184355112183586,-24.83554012917693,close_connection,0.0160019195000131,0.0
rank_aware_sparse_flexible,0.0078063268330576,0.0092199987498133,0.0153693880000294,0.0169285219997163,0.0287470172236096,0.0468379609983458,0.0922163280001768,1.0,3.8748999941162765e-05,0.0003885635010192,0.0048881290000887,2.244357638888889,8.833333333333334,19.666666666666668,28.33333333333333,0.3333333333333333,0.0487991155180283,0.1695983474264899,0.0395284765670251,0.0006615271668124,0.0056688391669013,0.049088,0.0,1.0,1.0,2.0,24,31,Rank-aware,9s:24,4.879911551802811,16.95983474264968,3.9528476567025774,12.168371797470678,6.957672066534555,-19.900981406448754,close_connection,0.0160019195000131,3.9528476567025774
system_portfolio,0.0081357744999574,0.0087556835001123,0.0125226834999618,0.0131876104999264,0.0287470172236096,0.0488146469997445,0.0751361009997708,1.0,0.0007400293334285,0.0002835891670353,0.001338146833253,1.0,8.0,8.0,0.0,0.0,0.008655918999716,0.211417024535814,0.2174261656577199,0.0008071936667874,0.0043145578335194,0.019968,0.0,1.0,0.3333333333333333,0.3333333333333333,24,31,Portfolio,9s:24,0.8655918999715001,21.14170245358181,21.742616565771694,31.577647338100824,3.0310394112374115,2.3069726989200645,close_connection,0.0160019195000131,21.742616565771694
guarded_system_portfolio,0.0082811371667048,0.0089089000000512,0.0127193406666871,0.0132191100003637,0.0287470172236096,0.0496868230002292,0.0763160440001229,1.0,0.0010879068330117,0.0002886523332866,0.0014327426662627,1.0,8.0,8.0,0.0,0.0,-0.0090565211962655,0.1976175395029775,0.2051365671051724,0.0007893621667183,0.0043712405001012,0.019968,0.0,1.0,0.3333333333333333,0.3333333333333333,24,31,Guarded portfolio,9s:24,-0.9056521196262212,19.76175395029849,20.513656710517214,31.41421591679773,1.2984856509310192,0.7727940256423816,close_connection,0.0160019195000131,20.513656710517214
online_counter_guard_deadline_aware_sparse_flexible,0.0082174744998155,0.0112922782498117,0.0159113846663482,0.0192704619998949,0.0287470172236096,0.0493048469988934,0.0954683079980895,1.0,0.0007809621667244,0.0004936833342981,0.005516007831981,2.552238343253968,9.833333333333334,20.5,27.5,0.3333333333333333,-0.001299225563045,-0.0170420598108376,0.0056577483510545,0.000583087000147,0.0057202579999587,0.051168,0.0,1.0,1.0,2.0,24,31,Guarded deadline-aware,9s:24,-0.12992255630400001,-1.7042059810837171,0.5657748351054174,0.017493925689242202,2.057270525880092,-24.12925205785812,close_connection,0.0160019195000131,0.5657748351054174
speed_aware_uncoded,0.0084889230000347,0.0093758992495622,0.0129592748335198,0.0136921547500605,0.0287470172236096,0.0509335380002085,0.0777556490011193,1.0,5.10936667221055e-05,0.0003766488339351,0.0018902053334386,1.0,8.0,8.0,0.0,0.0,0.1323319860150546,0.3830721360835694,0.2649955072884404,0.0007173101666921,0.0043996036668734,0.019968,0.0,1.0,0.3333333333333333,0.3333333333333333,24,7,Speed-aware uncoded,10s:21;9s:3,13.23319860150584,38.307213608357166,26.4995507288445,38.09854785549305,0.0,0.0,close_connection,0.0176315586666836,26.4995507288445
sparse_flexible_static,0.0097836071668098,0.0151977237501341,0.0176315586666836,0.0221192787498694,0.0287470172236096,0.0587016430008588,0.1057893520001016,1.0,0.0002107054997395,0.0005064788332068,0.0057698020006379,3.066964285714286,11.333333333333334,21.33333333333333,26.666666666666668,0.6666666666666666,0.0,0.0,0.0,0.0006901420000152,0.005702859666447,0.053248,0.0,1.0,1.0,2.0,24,7,Static sparse-flex,10s:21;9s:3,0.0,0.0,0.0,0.0,-15.251453768279054,-36.053590136685024,close_connection,0.0176315586666836,0.0
rank_aware_sparse_flexible,0.0080433236665461,0.0085209629996825,0.016229955666707,0.0171601212498444,0.0287470172236096,0.0482599419992766,0.097379734000242,1.0,3.925200023028689e-05,0.0003148511662705,0.0049296098341073,1.8584759424603172,7.333333333333333,18.83333333333333,29.166666666666668,0.1666666666666666,0.1778774914601534,0.4393263662522292,0.0794939929290004,0.0007014088334168,0.0059442738336959,0.047008,0.0,1.0,1.0,2.0,24,7,Rank-aware,10s:21;9s:3,17.787749146015287,43.93263662522281,7.94939929290003,22.420068737794086,5.249185715158206,-25.238147004394282,close_connection,0.0176315586666836,7.94939929290003
system_portfolio,0.0083419341667649,0.00874065424955,0.0127735546669403,0.0132162479999351,0.0287470172236096,0.0500516050005899,0.0766413280016422,1.0,0.0007288516667358,0.0003086718331057,0.0013581831663032,1.0,8.0,8.0,0.0,0.0,0.1473559777558937,0.4248708297864083,0.2755289019865759,0.0009268175000822,0.004361824000019,0.019968,0.0,1.0,0.3333333333333333,0.3333333333333333,24,7,Portfolio,10s:21;9s:3,14.735597775590122,42.48708297864097,27.552890198657998,40.25009517992021,1.7315368895347527,1.4331061650079848,close_connection,0.0176315586666836,27.552890198657998
