iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.026989499921910465,0.03627149993553758,0.026989499921910465,0.03627149993553758,0.03206842189843774,True,8.715427528620301e-16,0.0008489997126162052,0.0013968999264761806,0.0005798999918624759,0.008029900025576353,67392,0.0,0.013534699799492955,12,27,5,15,0,0,0,3.1315104166666665,True,4,0.8901121810394608
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.01440999994520098,0.036169499973766506,0.041399499867111444,0.07244099990930408,0.03199184596125305,True,8.688869536365455e-16,0.0012247998965904117,3.2400013878941536e-05,0.0006789000472053885,0.02138379996176809,52416,0.0,0.010854200343601406,11,21,11,10,0,0,0,2.743489583333333,False,4,0.8470634181381486
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.030202799942344427,0.06156830000691116,0.07160229980945587,0.13400929991621524,0.03191554122634348,True,9.493867567926288e-16,0.0005769999697804451,5.1900045946240425e-05,0.0008656000718474388,0.030927899992093444,69888,0.0,0.014765799860469997,9,28,4,19,0,0,0,2.3656994047619047,True,4,0.9152870901295324
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.029348300071433187,0.04016009997576475,0.10095059988088906,0.17416939989198,0.03183950661426632,True,6.556428628355769e-16,0.0006013000383973122,4.840001929551363e-05,0.0012440999271348119,0.01026579993776977,67392,0.0,0.013793699559755623,10,27,5,17,0,0,0,2.6149553571428568,True,4,0.8956145875284696
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.020901700016111135,0.054612900014035404,0.1218522998970002,0.2287822999060154,0.03176374105032984,True,5.661048867003676e-16,0.0009842998115345836,4.509999416768551e-05,0.0007647000020369887,0.030185600044205785,39936,0.0,0.009161500027403235,9,16,16,7,0,0,0,2.509300595238095,True,7,0.5887112154318358
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.02796970005147159,0.06051370000932366,0.14982199994847178,0.28929599991533905,0.03168824346457058,True,8.418682910850739e-16,0.0007539999205619097,6.900005973875523e-05,0.0009030000073835254,0.03104580007493496,44928,0.0,0.010251299943774939,7,18,14,11,0,0,0,1.7392113095238095,False,7,0.6466312326997606
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.028331900015473366,0.05801849998533726,0.17815389996394515,0.3473144999006763,0.031613012791730656,True,7.651684148563109e-16,0.0008865001145750284,4.970002919435501e-05,0.000743800075724721,0.029316099942661822,44928,0.0,0.011611800058744848,10,18,14,8,0,0,0,2.7414434523809526,True,7,0.6799369110020407
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.017955999937839806,0.04642559995409101,0.19610989990178496,0.3937400998547673,0.03153804797123522,True,1.5562935128250671e-15,0.0013133002212271094,5.2900053560733795e-05,0.0008643999462947249,0.02808700001332909,42432,0.0,0.01156329968944192,10,17,15,7,0,0,0,2.8664434523809526,True,7,0.5957578457073076
0,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0035:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.015257199993357062,0.039068899932317436,0.015257199993357062,0.039068899932317436,0.03206842189843774,True,7.850462293418875e-17,0.000927599729038775,0.005845300038345158,0.001637500012293458,0.02341380005236715,39936,0.0,0.007757399813272059,10,16,0,6,0,0,0,1.2397693452380951,False,4,0.8901121810394608
1,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0115:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.024081000010482967,0.05456129997037351,0.03933820000384003,0.09363019990269095,0.03199184596125305,True,0.0,0.0012233001179993153,0.006616100086830556,0.0011561999563127756,0.03022760001476854,19968,0.0,0.005332399741746485,8,8,0,0,0,0,0,1.0,False,4,0.8470634181381486
2,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0269:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.026322399964556098,0.04031459998805076,0.06566059996839613,0.1339447998907417,0.03191554122634348,True,3.421937179708943e-16,0.0009268998401239514,0.005409099976532161,0.0014216999989002943,0.013699300005100667,39936,0.0,0.007974800071679056,14,16,0,2,0,0,0,1.7475818452380951,False,4,0.9152870901295324
3,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0276:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.027060499996878207,0.05749270005617291,0.09272109996527433,0.1914374999469146,0.03183950661426632,True,1.4686870114880514e-16,0.001429100288078189,0.0049106000224128366,0.0007911999709904194,0.03012959996704012,39936,0.0,0.008506899932399392,13,16,0,3,0,0,0,1.6145833333333333,False,4,0.8956145875284696
4,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0366:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.024357000016607344,0.04080800001975149,0.11707809998188168,0.2322454999666661,0.03176374105032984,True,0.0,0.0005908999592065811,0.005445599905215204,0.0010665999725461006,0.012927299947477877,24960,0.0,0.005011799745261669,8,10,6,2,0,0,0,1.0,False,7,0.5887112154318358
5,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0353:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.016120800049975514,0.04117400001268834,0.1331989000318572,0.27341949997935444,0.03168824346457058,True,7.850462293418875e-17,0.0012807002058252692,0.005870399996638298,0.0009117000736296177,0.024770100018940866,22464,0.0,0.004376999801024795,9,9,7,0,0,0,0,1.1244419642857144,False,7,0.6466312326997606
6,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0376:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.023560900008305907,0.03837970003951341,0.1567598000401631,0.31179920001886785,0.031613012791730656,True,7.850462293418875e-17,0.0008080999832600355,0.006391500006429851,0.0008589000208303332,0.012786000035703182,22464,0.0,0.0042703000362962484,9,9,7,0,0,0,0,1.1244419642857144,False,7,0.6799369110020407
7,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0361:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.01591700001154095,0.04094550001900643,0.17267680005170405,0.3527447000378743,0.03153804797123522,True,0.0,0.0009452999802306294,0.005317299976013601,0.0016191999893635511,0.02471460006199777,22464,0.0,0.004143099999055266,8,9,7,1,0,0,0,1.0,False,7,0.5957578457073076
0,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0023,synthetic,phase,none,0.014,16,8,1600,240,0.02856570004951209,0.05915310001000762,0.02856570004951209,0.05915310001000762,0.03206842189843774,True,0.0,0.0008032998302951455,0.0021803000709041953,0.001256900024600327,0.03036530001554638,19968,0.0,0.003977499902248383,8,8,0,0,0,0,0,1.0,False,4,0.8901121810394608
