external_mode,n_workers,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,p95_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,mean_network_response_mb,method,source,artifact,uses_first_decode_features,notes,gain_vs_original_percent
tcp,16,original_sfcl_static,44.90367656762823,63.39906499488271,23.376254681352236,30.967759934719613,2.5372721354166665,11.15625,1.0,0.7237937479657734,20.402837491928896,0.051207,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,0.0
tcp,16,rltune_style_selector,46.51816875229993,60.43026492698112,23.505735938670064,32.153780007502014,1.1790945870535714,2.203125,1.0,0.9805093814065408,22.544534383996456,0.029055,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",-3.5954565596430688
tcp,16,sailor_style_heterogeneity_aware,47.07077031707737,63.194159965496475,24.203153128837528,37.87432500394055,1.0,0.0,1.0,1.1003859362971906,22.646924999207798,0.019968,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,-4.826094242384217
tcp,16,guarded_system_portfolio,52.61868281559141,87.19074998516587,26.216192178253504,42.124530009459605,1.0,0.0,1.0,1.051417182679822,26.168517188125357,0.019968,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,-17.181235118562764
tcp,16,online_counter_guard_deadline_aware_sparse_flexible,46.92797656753096,61.10518997884354,24.02012968377671,31.284680019598436,2.504397437686012,12.375,1.0,0.8174718750523812,21.821475007527575,0.053898,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,-4.508094113082224
tcp,24,original_sfcl_static,51.07084218434461,62.39536997745737,28.065703118045295,31.04553500888861,2.4658958798363098,23.890625,1.0,0.6632203148910234,21.964935933283357,0.083031,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,0.0
tcp,24,rltune_style_selector,53.94730311854795,72.07462001242665,27.46211719022535,38.03838992025694,1.1425403413318453,2.71875,1.0,1.0287390668963219,26.270870304870137,0.029601,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",-5.632295868199123
tcp,24,sailor_style_heterogeneity_aware,50.55957969307197,70.26090506697065,25.400867179996514,32.75319007225328,1.0,0.0,1.0,0.7792796768625937,24.936193753092038,0.019968,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,1.0010849036465854
tcp,24,guarded_system_portfolio,48.823290622749425,60.97847994533364,23.565929681353683,31.725589936831945,1.0,0.0,1.0,0.8526390665792314,25.05554063827725,0.019968,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,4.400850789737237
tcp,24,online_counter_guard_deadline_aware_sparse_flexible,55.183912505526635,94.70898007275531,27.318551557982524,44.29065000149421,2.470339820498512,23.046875,1.0,0.7017906136752093,26.827568744920377,0.080691,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,-8.053656734963445
tcp,8,original_sfcl_static,43.45756406473806,75.94730504788451,28.068259372957932,65.30195496743538,2.538853236607143,1.8125,1.0,0.5767843686043672,14.252856261009532,0.025623,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,0.0
tcp,8,rltune_style_selector,51.9362171817192,75.62539490754708,34.51020155080181,61.64452998782504,1.3330455961681549,0.390625,1.0,0.5641937495965484,17.043512514646814,0.020709,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",-19.510189536511124
tcp,8,sailor_style_heterogeneity_aware,50.911659369376096,77.51118994201533,35.13799999564066,61.88234995934179,1.0,0.0,1.0,0.5676375021720969,15.656834379114978,0.019968,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,-17.15258428551998
tcp,8,guarded_system_portfolio,40.8576593817997,84.95607501245082,25.10693906879164,59.99557003378855,2.1667683919270835,1.625,1.0,0.47285469190678125,14.714267181261627,0.023868,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,5.98262866060629
tcp,8,online_counter_guard_deadline_aware_sparse_flexible,42.00713593854739,75.66746993106783,25.917415627191026,62.22439001430752,2.4653872535342263,1.8125,1.0,0.5010375025448829,14.783628133955009,0.025077,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,3.3375734636897394
