external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
tcp,16,37,guarded_system_portfolio,47.68563751713368,19.23821822883835,23.75797501008485,23.75797501008485,0.5002430058956802,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,37,online_counter_guard_deadline_aware_sparse_flexible,51.267737522721234,22.037062625895448,27.727962515200424,27.327050018357024,0.4486443889113559,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,43,original_sfcl_static,39.22663749835914,19.54595122097085,23.954612508532488,23.89282501098922,0.3606073477020545,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,43,rltune_style_selector,54.15266250201961,22.76175766733099,27.771762514021137,27.771762514021137,0.4940143725027721,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,43,sailor_style_heterogeneity_aware,44.74416248558553,20.762244152729135,25.326912524178525,25.326912524178525,0.41268979628922564,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,43,guarded_system_portfolio,47.50994998903475,18.1832847434634,22.81437497003925,22.81437497003925,0.5204920161812757,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,43,online_counter_guard_deadline_aware_sparse_flexible,44.02168749948027,18.74899477334107,23.56736249930685,23.272793754585948,0.4624035169008235,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,53,original_sfcl_static,40.05901247728611,19.74308199332877,24.160662491340137,23.980806225154,0.38015764525603846,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,53,rltune_style_selector,50.982887492864336,23.204858117696816,28.506612492492362,28.314643743215058,0.4270558588897463,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,53,sailor_style_heterogeneity_aware,50.45954999513921,20.221658091168102,24.971500009996713,24.971500009996713,0.5175510014369132,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,53,guarded_system_portfolio,49.97391250799406,23.57103776807886,28.927612525876512,28.927612525876512,0.406905619390951,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,53,online_counter_guard_deadline_aware_sparse_flexible,47.60822503885715,21.993798579751402,27.221075026318324,27.13229376968218,0.4127233956164714,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,7,original_sfcl_static,44.05828751623626,18.15756121741283,23.177274997578863,22.748874995158886,0.47674113000722484,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,7,rltune_style_selector,39.33416251675221,18.144420284625042,22.44705002522085,22.44705002522085,0.4303806697406706,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,7,sailor_style_heterogeneity_aware,45.33673748665017,18.306711653985932,23.239512505824564,23.239512505824564,0.48101354051476275,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,7,guarded_system_portfolio,45.132712504710014,19.627708384814426,24.309037486091164,24.309037486091164,0.4537707429663541,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,7,online_counter_guard_deadline_aware_sparse_flexible,50.58325000572943,25.056632856740137,31.10382499289696,30.756293752347055,0.37875438201820333,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,11,original_sfcl_static,47.779637519852216,24.275222661253746,29.84667502460069,29.533837521739702,0.3732872749582521,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,11,rltune_style_selector,41.58527498657345,21.748116454455115,26.323074955143863,26.323074955143863,0.3559351053525759,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,24,11,sailor_style_heterogeneity_aware,63.20846251037432,31.05800297707897,38.44097501132627,38.44097501132627,0.40674180744408256,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,24,11,guarded_system_portfolio,51.63591250311578,20.688028178665217,25.419712459551985,25.419712459551985,0.5112032247905515,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,24,11,online_counter_guard_deadline_aware_sparse_flexible,54.12552501366004,24.49729008712888,30.30068750376809,29.944218738819394,0.43287723943096434,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,17,original_sfcl_static,55.08246250974475,25.119530317897393,30.637537522125,30.523112516675532,0.4338365312481194,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,17,rltune_style_selector,55.71571248583491,22.304709060335828,26.9984500191639,26.9984500191639,0.5218842439094933,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,24,17,sailor_style_heterogeneity_aware,51.40446253062685,21.50676454002672,26.11833752598601,26.11833752598601,0.49627959797447174,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,24,17,guarded_system_portfolio,54.46976247185371,22.14948741566327,26.6098874999442,26.6098874999442,0.5192905908867382,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,24,17,online_counter_guard_deadline_aware_sparse_flexible,67.79176251438908,27.388040155346932,34.19405000749975,33.79485625191587,0.4960950649933681,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,23,original_sfcl_static,46.83156247483562,20.640427022590256,25.47569999296681,25.166393730614736,0.45624448248698307,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,23,rltune_style_selector,55.64867498469532,24.150345097950726,29.279112539370438,29.279112539370438,0.46764052605849726,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,24,23,sailor_style_heterogeneity_aware,46.07938749541057,18.185970674494413,21.96872494823755,21.96872494823755,0.526834904777189,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,24,23,guarded_system_portfolio,39.585424965480286,17.952937249356133,21.69629999843881,21.69629999843881,0.43840603576283166,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,24,23,online_counter_guard_deadline_aware_sparse_flexible,45.35670000768727,18.956900242665096,23.26712496869724,23.0503249767934,0.48635580909794973,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,31,original_sfcl_static,44.628312491113284,21.620243354027412,26.4358749845996,26.19226874230653,0.39701408209338784,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,31,rltune_style_selector,47.23953749635254,21.277489438944,26.106774967047272,26.106774967047272,0.4338768465660238,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,24,31,sailor_style_heterogeneity_aware,40.671062481123926,16.38038624014367,20.28704997792366,20.28704997792366,0.49864475675661557,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,24,31,guarded_system_portfolio,46.490325010381575,17.648483595621617,21.27354999538501,21.27354999538501,0.5494106354175607,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,24,31,online_counter_guard_deadline_aware_sparse_flexible,50.26287501095787,20.538232342187214,25.062537519261188,24.92303126928157,0.4853535535317288,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,37,original_sfcl_static,53.053324983920845,24.304311000560077,30.235187499783887,29.663799999980174,0.4303102857750599,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,37,rltune_style_selector,51.50429999048351,19.749859777220948,24.01847504370369,24.01847504370369,0.5375564911425491,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,24,37,sailor_style_heterogeneity_aware,47.68355000123842,20.31311490218281,24.1565249452832,24.1565249452832,0.49625847650374877,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,24,37,guarded_system_portfolio,47.59200001717539,18.58492883493449,22.84313751442811,22.84313751442811,0.5239644476315527,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,24,37,online_counter_guard_deadline_aware_sparse_flexible,46.83937501977195,19.235930625472935,23.995975003344874,23.70693124976234,0.4960345690280817,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,43,original_sfcl_static,51.76052496244661,25.639884348311142,31.561612413497574,31.282218675187252,0.3817223624383065,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,43,rltune_style_selector,49.368937499821136,21.877529780613223,26.60966254188669,26.60966254188669,0.45652799835215935,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,24,43,sailor_style_heterogeneity_aware,56.38812499819318,22.77266070132095,27.3781249707098,27.3781249707098,0.5230759570282372,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,24,43,guarded_system_portfolio,46.12072501913637,19.582619535958614,23.898737519630124,23.898737519630124,0.479815390880617,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,24,43,online_counter_guard_deadline_aware_sparse_flexible,40.7957874849671,16.77503022410742,21.024499990744463,20.72643747669637,0.48762552687488925,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,53,original_sfcl_static,58.00186251872212,25.51186671353202,30.99503750854629,30.81505625596027,0.46035586407167794,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,53,rltune_style_selector,53.69342499761837,22.379251025995437,26.905724982498125,26.905724982498125,0.4890148786800317,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,24,53,sailor_style_heterogeneity_aware,46.46402502839916,20.66067157275025,24.636487505631425,24.636487505631425,0.46545190162887695,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,24,53,guarded_system_portfolio,57.65382501704146,23.68516890319366,28.66248750069635,28.66248750069635,0.5091447648907315,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,24,53,online_counter_guard_deadline_aware_sparse_flexible,52.68526250438295,22.431224047795645,27.242824988206763,27.197993724257593,0.476287353499202,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,7,original_sfcl_static,51.429050014121415,23.803839223364736,28.822162523283573,28.743900023982793,0.4330444984032829,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,7,rltune_style_selector,76.8225625070044,33.534132118802475,41.6855750081594,41.6855750081594,0.45687298884899585,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,24,7,sailor_style_heterogeneity_aware,52.57756249920927,21.768249828710356,26.454949969774937,26.454949969774937,0.4979393700455047,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,24,7,guarded_system_portfolio,47.038349977810824,20.200532260059813,24.94473749538874,24.94473749538874,0.45441921289627435,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,24,7,online_counter_guard_deadline_aware_sparse_flexible,83.61401248839678,34.7801452905514,43.080187489977035,42.821518734854095,0.49384681807726344,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,8,11,original_sfcl_static,34.287900009076075,20.110253111124564,25.799100010772225,25.341512489831004,0.2542468149031325,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
