strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,mean_worker_recoveries,mean_reissued_rows
original_sfcl_static,0.029277025008923374,0.04955662001157178,0.04770018749695737,0.07248940996360033,0.018544168693188957,0.234216200071387,0.38160149997565895,1.0,0.00013478750770445913,0.0008182249584933743,0.003425812494242564,2.5142299107142856,8.5,9.0,7.0,1.0,0.0,0.0,0.0,0.0038723000325262547,0.017624112486373633,0.022464,0.027718848000000004,0.0,0.0,0.0
rltune_style_selector,0.03161288746923674,0.04937387993559241,0.05564843749743886,0.07415454498841427,0.018544168693188957,0.2529030997538939,0.4451874999795109,1.0,0.001987975017982535,0.0006432500085793436,0.0027757874340750277,1.625744047619048,7.75,8.625,3.375,0.5,-0.07978482989994425,0.0036875008008354555,-0.16662932406688097,0.0038010249700164422,0.02269958749820944,0.021528,0.026563896000000004,0.0,0.0,0.0
sailor_style_heterogeneity_aware,0.04198472501593642,0.07035122503293677,0.057451337517704815,0.095403585024178,0.018544168693188957,0.33587780012749135,0.4596107001416385,1.0,0.0006368250178638846,0.0007747750059934333,0.0022332874650601298,1.0,8.0,8.0,0.0,0.0,-0.4340502494068251,-0.4196130611108933,-0.2044258216253225,0.0038382249913411215,0.015351900001405738,0.019968,0.024638976000000003,0.0,0.0,0.0
guarded_system_portfolio,0.032995674991980195,0.061069059959845594,0.052696787504828535,0.08015288994065484,0.018544168693188957,0.26396539993584156,0.4215743000386283,1.0,0.001460087500163354,0.0007585373823530972,0.004314424964832142,2.2289341517857144,8.125,9.625,5.375,0.875,-0.1270159786359239,-0.23230882060934718,-0.10475011252712334,0.003813087518210523,0.019253787482739426,0.024024,0.029643768000000004,0.0,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.029560325012425892,0.049228670005686564,0.045500099993660115,0.07357950498117133,0.018544168693188957,0.23648260009940714,0.3640007999492809,1.0,0.0009343375131720677,0.0008565125026507303,0.005032100059906952,2.3581426711309526,8.125,9.5,6.5,1.0,-0.00967652975041592,0.006617683082676704,0.04612324644295351,0.003929649989004247,0.0145771749666892,0.023712,0.029258784000000003,0.0,0.0,0.0
