iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.026448799995705485,0.04606630001217127,0.026448799995705485,0.04606630001217127,0.018853620223686838,True,1.7422013638940487e-15,0.0012197999749332666,0.0008238999871537089,0.003781600040383637,0.018843499943614006,32448,0.040038336,0.005607700324617326,10,13,3,3,0,0,0,2.8755580357142856,True,2,0.8990476409655979
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.020781499915756285,0.025557199958711863,0.04723029991146177,0.07162349997088313,0.018808927928652585,True,1.3322676295501877e-15,0.0006125998916104436,3.3800024539232254e-05,0.003937099943868816,0.0040484999772161245,17472,0.021559104000000003,0.002594999852590263,7,7,9,0,0,0,0,1.992559523809524,True,2,0.9533574674502256
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.021518500056117773,0.04843520000576973,0.06874879996757954,0.12005869997665286,0.018764398354303866,True,1.4734002284896294e-15,0.00048280006740242243,3.2400013878941536e-05,0.004040700034238398,0.026782499975524843,22464,0.027718848000000004,0.0029538999078795314,8,9,7,1,0,0,0,2.2390252976190474,True,2,0.9345623833931247
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.025389800081029534,0.04567969997879118,0.09413860004860908,0.16573839995544404,0.018720030852201936,True,1.3328457452769193e-15,0.0009817997924983501,3.3400021493434906e-05,0.003841000027023256,0.02018110000062734,24960,0.030798720000000005,0.003623099997639656,10,10,6,0,0,0,0,2.996837797619048,True,2,0.9672512719997055
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.05802550003863871,0.07815219997428358,0.1521641000872478,0.24389059992972761,0.018675824776649634,True,9.646809571707696e-16,0.0010472999420017004,4.1400082409381866e-05,0.0037622000090777874,0.018537100055254996,27456,0.033878592000000006,0.0045807999558746815,11,11,5,0,0,0,0,3.2451636904761907,True,4,0.6332566939201522
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.033828699961304665,0.06197279994376004,0.18599280004855245,0.30586339987348765,0.018631779484679274,True,4.744661203284542e-15,0.0008563000010326505,3.9199949242174625e-05,0.0037070000544190407,0.02673229994252324,19968,0.024638976000000003,0.002382500097155571,8,8,8,0,0,0,0,2.4992559523809526,True,4,0.6539264172942525
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.022938700043596327,0.04599820007570088,0.20893150009214878,0.35186159994918853,0.018587894336040637,True,1.897961898453677e-15,0.0006565998774021864,2.989999484270811e-05,0.003985200077295303,0.022594699985347688,17472,0.021559104000000003,0.003194799879565835,7,7,9,0,0,0,0,2.1331845238095237,True,4,0.5961427292408626
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,8,8,1600,240,0.025284699979238212,0.029739900026470423,0.234216200071387,0.38160149997565895,0.018544168693188957,True,5.222180388738334e-16,0.0006886001210659742,4.429998807609081e-05,0.003923600073903799,0.003273200010880828,17472,0.021559104000000003,0.0024686999386176467,7,7,9,0,0,0,0,2.1322544642857144,True,4,0.5693874630569196
0,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0109:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.023423000006005168,0.04416370007675141,0.023423000006005168,0.04416370007675141,0.018853620223686838,True,0.0,0.0006933000404387712,0.0018946999916806817,0.0037861999589949846,0.020621699979528785,19968,0.024638976000000003,0.002117200056090951,8,8,0,0,0,0,0,1.0,False,2,0.8990476409655979
1,rltune_style_selector,rltune-style-original:balanced_d2_d3:pred_barrier=0.0230:pred_prefix=7,synthetic,phase,none,0.014,8,8,1600,240,0.020322399912402034,0.04682449996471405,0.0437453999184072,0.09098820004146546,0.018808927928652585,True,2.8012513213582517e-15,0.0006793000502511859,0.0018538000294938684,0.003789599984884262,0.023647699970752,24960,0.030798720000000005,0.003309999709017575,7,10,6,3,0,0,0,1.8761160714285718,True,2,0.9533574674502256
2,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0240:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.034720499999821186,0.05650359997525811,0.07846589991822839,0.14749180001672357,0.018764398354303866,True,0.0,0.0005452999612316489,0.002010800060816109,0.0038605999434366822,0.02163610002025962,19968,0.024638976000000003,0.0017705998616293073,8,8,0,0,0,0,0,1.0,False,2,0.9345623833931247
3,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0349:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.021720799966715276,0.043546500033698976,0.10018669988494366,0.19103830005042255,0.018720030852201936,True,0.0,0.0008256001165136695,0.001841600053012371,0.00380319997202605,0.02173779997974634,19968,0.024638976000000003,0.002099399920552969,8,8,0,0,0,0,0,1.0000000000000002,False,2,0.9672512719997055
4,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0581:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.05097869993187487,0.07445109996479005,0.15116539981681854,0.2654894000152126,0.018675824776649634,True,0.0,0.0005775000900030136,0.002094700001180172,0.0037692999467253685,0.023342099972069263,19968,0.024638976000000003,0.00206540001090616,8,8,0,0,0,0,0,1.0,False,4,0.6332566939201522
5,rltune_style_selector,rltune-style-original:balanced_d2_d3:pred_barrier=0.0640:pred_prefix=8,synthetic,phase,none,0.014,8,8,1600,240,0.03139499993994832,0.06191309995483607,0.18256039975676686,0.32740249997004867,0.018631779484679274,True,9.630824789273724e-16,0.0005316997412592173,0.0021479000570252538,0.0037897999864071608,0.02758300001733005,19968,0.024638976000000003,0.003553300048224628,8,8,8,0,0,0,0,2.4992559523809526,True,4,0.6539264172942525
6,rltune_style_selector,rltune-style-original:balanced_d2_d3:pred_barrier=0.0549:pred_prefix=7,synthetic,phase,none,0.014,8,8,1600,240,0.023949200054630637,0.0441811999771744,0.2065095998113975,0.37158369994722307,0.018587894336040637,True,9.280494982111524e-16,0.0007871000561863184,0.002039699931629002,0.0038473999593406916,0.017390500055626035,19968,0.024638976000000003,0.00352790008764714,7,8,8,1,0,0,0,2.133184523809524,True,4,0.5961427292408626
7,rltune_style_selector,rltune-style-original:balanced_d2_d3:pred_barrier=0.0538:pred_prefix=7,synthetic,phase,none,0.014,8,8,1600,240,0.04639349994249642,0.07360380003228784,0.2529030997538939,0.4451874999795109,0.018544168693188957,True,1.3966323237256798e-15,0.0005062000127509236,0.0020206000190228224,0.003762100008316338,0.02563779999036342,27456,0.033878592000000006,0.0037624997785314918,8,11,5,3,0,0,0,2.4973958333333335,True,4,0.5693874630569196
0,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0109,synthetic,phase,none,0.014,8,8,1600,240,0.04054670000914484,0.058708900003694,0.04054670000914484,0.058708900003694,0.018853620223686838,True,0.0,0.000614000135101378,0.0007351000094786286,0.003699399996548891,0.018055299995467067,19968,0.024638976000000003,0.0017499002860859036,8,8,0,0,0,0,0,1.0,False,2,0.8990476409655979
1,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0123,synthetic,phase,none,0.014,8,8,1600,240,0.023684000014327466,0.045462500071153045,0.06423070002347231,0.10417140007484704,0.018808927928652585,True,0.0,0.0006165998056530952,0.0005449000746011734,0.0037472000112757087,0.021685799933038652,19968,0.024638976000000003,0.0015230997232720256,8,8,0,0,0,0,0,1.0,False,2,0.9533574674502256
2,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0088,synthetic,phase,none,0.014,8,8,1600,240,0.02488659997470677,0.0471045000012964,0.08911729999817908,0.15127590007614344,0.018764398354303866,True,0.0,0.000521400012075901,0.0005698000313714147,0.003828300046734512,0.022135799983516335,19968,0.024638976000000003,0.0017173999221995473,8,8,0,0,0,0,0,1.0,False,2,0.9345623833931247
3,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0126,synthetic,phase,none,0.014,8,8,1600,240,0.030758799985051155,0.03393779997713864,0.11987609998323023,0.18521370005328208,0.018720030852201936,True,0.0,0.0006610997952520847,0.0005574999377131462,0.0039817000506445765,0.0030942000448703766,19968,0.024638976000000003,0.0022054999135434628,8,8,0,0,0,0,0,1.0000000000000002,False,2,0.9672512719997055
4,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0431,synthetic,phase,none,0.014,8,8,1600,240,0.05260589998215437,0.07569369999691844,0.1724819999653846,0.2609074000502005,0.018675824776649634,True,0.0,0.00105189997702837,0.0005440000677481294,0.0037465000059455633,0.022894500056281686,19968,0.024638976000000003,0.002194899949245155,8,8,0,0,0,0,0,1.0,False,4,0.6332566939201522
5,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0434,synthetic,phase,none,0.014,8,8,1600,240,0.07990640006028116,0.10601660003885627,0.25238840002566576,0.3669240000890568,0.018631779484679274,True,0.0,0.0007859000470489264,0.000901999999769032,0.0040129999397322536,0.026004299987107515,19968,0.024638976000000003,0.002943699946627021,8,8,0,0,0,0,0,1.0,False,4,0.6539264172942525
6,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0261,synthetic,phase,none,0.014,8,8,1600,240,0.04808730003423989,0.051951600005850196,0.30047570005990565,0.418875600094907,0.018587894336040637,True,0.0,0.0008845002157613635,0.0006451000226661563,0.003893899964168668,0.003778900019824505,19968,0.024638976000000003,0.003120299894362688,8,8,0,0,0,0,0,1.0,False,4,0.5961427292408626
7,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0259,synthetic,phase,none,0.014,8,8,1600,240,0.03540210006758571,0.04073510004673153,0.33587780012749135,0.4596107001416385,0.018544168693188957,True,0.0,0.0010628000600263476,0.000596199999563396,0.003795799915678799,0.0051663999911397696,19968,0.024638976000000003,0.002411500085145235,8,8,0,0,0,0,0,1.0,False,4,0.5693874630569196
0,guarded_system_portfolio,guarded-portfolio-fallback-best_safe-static:balanced_d2_d3:pred_gain=0.000:pred_prefix_delta=0.0,synthetic,phase,none,0.014,8,8,1600,240,0.02441990002989769,0.04453020007349551,0.02441990002989769,0.04453020007349551,0.018853620223686838,True,3.0827436996260935e-15,0.0009571000700816512,0.0015193000435829163,0.0037675000494346023,0.019926100037992,32448,0.040038336,0.00652129971422255,9,13,3,4,0,0,0,2.6116071428571432,True,2,0.8990476409655979
1,guarded_system_portfolio,guarded-portfolio-fallback-best_safe-static:balanced_d2_d3:pred_gain=0.000:pred_prefix_delta=0.0,synthetic,phase,none,0.014,8,8,1600,240,0.02321499993558973,0.04499159997794777,0.04763489996548742,0.08952180005144328,0.018808927928652585,True,1.9233632618876242e-15,0.0005617999704554677,0.0013167000142857432,0.0039163000183179975,0.021550499950535595,27456,0.033878592000000006,0.006020200089551508,7,11,5,4,0,0,0,1.87202380952381,True,2,0.9533574674502256
2,guarded_system_portfolio,guarded-portfolio-enable-rank:balanced_d2_d3:pred_gain=0.251:pred_prefix_delta=-2.0,synthetic,phase,none,0.014,8,8,1600,240,0.03268760000355542,0.06077079998794943,0.08032249996904284,0.1502926000393927,0.018764398354303866,True,9.662767911105657e-16,0.0005534997908398509,0.001081199967302382,0.003744899993762374,0.027946999995037913,29952,0.036958464,0.004708299762569368,10,12,4,2,0,0,0,2.9782366071428577,True,2,0.9345623833931247
3,guarded_system_portfolio,guarded-portfolio-fallback-best_safe-static:balanced_d2_d3:pred_gain=0.404:pred_prefix_delta=-2.0,synthetic,phase,none,0.014,8,8,1600,240,0.024704899988137186,0.03003809996880591,0.10502739995718002,0.18033070000819862,0.018720030852201936,True,1.0451734135809425e-15,0.0008910998003557324,0.0017410001019015908,0.0038365001091733575,0.0041519999504089355,24960,0.030798720000000005,0.0037803000304847956,9,10,6,1,0,0,0,2.604910714285714,True,2,0.9672512719997055
4,guarded_system_portfolio,guarded-portfolio-fallback-best_safe-uncoded:speed-aware-identity:pred_gain=0.789:pred_prefix_delta=-1.0,synthetic,phase,none,0.014,8,8,1600,240,0.07569779991172254,0.09058939991518855,0.18072519986890256,0.27092009992338717,0.018675824776649634,True,0.0,0.0009036000119522214,0.0014449999434873462,0.003740199957974255,0.01476130005903542,19968,0.024638976000000003,0.002280100015923381,8,8,0,0,0,0,0,1.0,False,4,0.6332566939201522
5,guarded_system_portfolio,guarded-portfolio-fallback-best_safe-static:balanced_d2_d3:pred_gain=0.054:pred_prefix_delta=-1.0,synthetic,phase,none,0.014,8,8,1600,240,0.033901400049217045,0.060549400048330426,0.2146265999181196,0.3314694999717176,0.018631779484679274,True,5.330082344171147e-15,0.0005817998899146914,0.001470700022764504,0.003803499974310398,0.026466299896128476,19968,0.024638976000000003,0.004272399935871363,8,8,8,0,0,0,0,2.4992559523809526,True,4,0.6539264172942525
6,guarded_system_portfolio,guarded-portfolio-fallback-best_safe-static:balanced_d2_d3:pred_gain=0.042:pred_prefix_delta=0.0,synthetic,phase,none,0.014,8,8,1600,240,0.0229043000144884,0.04443480004556477,0.237530899932608,0.37590430001728237,0.018587894336040637,True,1.2130170969577667e-15,0.0007777998689562082,0.0014412999153137207,0.0038593000499531627,0.020778900012373924,17472,0.021559104000000003,0.0029286000644788146,7,7,9,0,0,0,0,2.133184523809524,True,4,0.5961427292408626
7,guarded_system_portfolio,guarded-portfolio-fallback-best_safe-static:balanced_d2_d3:pred_gain=0.029:pred_prefix_delta=0.0,synthetic,phase,none,0.014,8,8,1600,240,0.026434500003233552,0.04567000002134591,0.26396539993584156,0.4215743000386283,0.018544168693188957,True,5.222180388738334e-16,0.0008415996562689543,0.0016654999926686287,0.0038364999927580357,0.018448199960403144,19968,0.024638976000000003,0.0040042001055553555,7,8,8,1,0,0,0,2.1322544642857144,True,4,0.5693874630569196
0,online_counter_guard_deadline_aware_sparse_flexible,online-guard-fallback-deadline:balanced_d2_d3:pred_gain=-0.030:pred_prefix_delta=0.0,synthetic,phase,none,0.014,8,8,1600,240,0.023468900006264448,0.028778300038538873,0.023468900006264448,0.028778300038538873,0.018853620223686838,True,2.8394917008476575e-15,0.0009749999735504389,0.0010588000295683742,0.0038702000165358186,0.0047478999476879835,27456,0.033878592000000006,0.0056041000643745065,9,11,5,2,0,0,0,2.480282738095238,True,2,0.8990476409655979
1,online_counter_guard_deadline_aware_sparse_flexible,online-guard-fallback-deadline:balanced_d2_d3:pred_gain=-0.024:pred_prefix_delta=1.0,synthetic,phase,none,0.014,8,8,1600,240,0.020382100017741323,0.044009200064465404,0.04385100002400577,0.07278750010300428,0.018808927928652585,True,1.2905596522075534e-15,0.000870700110681355,0.0006538999732583761,0.00396640005055815,0.023411699919961393,22464,0.027718848000000004,0.005080400034785271,7,9,7,2,0,0,0,1.8761160714285718,True,2,0.9533574674502256
